2025-10-05 11:08:35 - INFO - ======== [Run 41/300] width=110 depth=2 ========
2025-10-05 11:08:35 - INFO - Device=cuda | dataset=cifar100 | batch=2048 | max_epochs=50 | patience=10 | lr=1.00e-03 | wd=1.0e-04
2025-10-05 11:08:35 - INFO - Model params=123410 | neurons=330 | pooling=[1, 3]
2025-10-05 11:08:51 - INFO - [epoch 1/50] train_loss=4.4772 | val_loss=4.3379 | val_acc=0.0468 | best_val=4.3379@1 | bad=0/10 | lr=1.00e-03 | dt=16.6s
2025-10-05 11:09:10 - INFO - [epoch 2/50] train_loss=4.2547 | val_loss=4.1738 | val_acc=0.0662 | best_val=4.1738@2 | bad=0/10 | lr=1.00e-03 | dt=19.1s
2025-10-05 11:09:29 - INFO - [epoch 3/50] train_loss=4.1179 | val_loss=4.0748 | val_acc=0.0920 | best_val=4.0748@3 | bad=0/10 | lr=1.00e-03 | dt=18.1s
2025-10-05 11:09:47 - INFO - [epoch 4/50] train_loss=3.9996 | val_loss=3.9535 | val_acc=0.1124 | best_val=3.9535@4 | bad=0/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:10:05 - INFO - [epoch 5/50] train_loss=3.9007 | val_loss=3.8652 | val_acc=0.1124 | best_val=3.8652@5 | bad=0/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:10:23 - INFO - [epoch 6/50] train_loss=3.8176 | val_loss=3.7810 | val_acc=0.1330 | best_val=3.7810@6 | bad=0/10 | lr=1.00e-03 | dt=18.1s
2025-10-05 11:10:41 - INFO - [epoch 7/50] train_loss=3.7399 | val_loss=3.7266 | val_acc=0.1384 | best_val=3.7266@7 | bad=0/10 | lr=1.00e-03 | dt=18.0s
2025-10-05 11:10:59 - INFO - [epoch 8/50] train_loss=3.6711 | val_loss=3.6259 | val_acc=0.1602 | best_val=3.6259@8 | bad=0/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:11:17 - INFO - [epoch 9/50] train_loss=3.6104 | val_loss=3.5984 | val_acc=0.1548 | best_val=3.5984@9 | bad=0/10 | lr=1.00e-03 | dt=17.7s
2025-10-05 11:11:35 - INFO - [epoch 10/50] train_loss=3.5574 | val_loss=3.5110 | val_acc=0.1716 | best_val=3.5110@10 | bad=0/10 | lr=1.00e-03 | dt=17.7s
2025-10-05 11:11:53 - INFO - [epoch 11/50] train_loss=3.5070 | val_loss=3.5011 | val_acc=0.1692 | best_val=3.5011@11 | bad=0/10 | lr=1.00e-03 | dt=18.6s
2025-10-05 11:12:11 - INFO - [epoch 12/50] train_loss=3.4610 | val_loss=3.4540 | val_acc=0.1828 | best_val=3.4540@12 | bad=0/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:12:29 - INFO - [epoch 13/50] train_loss=3.4236 | val_loss=3.4665 | val_acc=0.1838 | best_val=3.4540@12 | bad=1/10 | lr=1.00e-03 | dt=17.7s
2025-10-05 11:12:47 - INFO - [epoch 14/50] train_loss=3.3860 | val_loss=3.3810 | val_acc=0.2004 | best_val=3.3810@14 | bad=0/10 | lr=1.00e-03 | dt=18.0s
2025-10-05 11:13:05 - INFO - [epoch 15/50] train_loss=3.3539 | val_loss=3.3820 | val_acc=0.1910 | best_val=3.3810@14 | bad=1/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:13:23 - INFO - [epoch 16/50] train_loss=3.3241 | val_loss=3.3738 | val_acc=0.1870 | best_val=3.3738@16 | bad=0/10 | lr=1.00e-03 | dt=17.6s
2025-10-05 11:13:41 - INFO - [epoch 17/50] train_loss=3.2940 | val_loss=3.3137 | val_acc=0.2070 | best_val=3.3137@17 | bad=0/10 | lr=1.00e-03 | dt=17.9s
2025-10-05 11:14:00 - INFO - [epoch 18/50] train_loss=3.2668 | val_loss=3.2495 | val_acc=0.2194 | best_val=3.2495@18 | bad=0/10 | lr=1.00e-03 | dt=18.8s
2025-10-05 11:14:18 - INFO - [epoch 19/50] train_loss=3.2379 | val_loss=3.2711 | val_acc=0.2054 | best_val=3.2495@18 | bad=1/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:14:35 - INFO - [epoch 20/50] train_loss=3.2186 | val_loss=3.2502 | val_acc=0.2130 | best_val=3.2495@18 | bad=2/10 | lr=1.00e-03 | dt=17.4s
2025-10-05 11:14:54 - INFO - [epoch 21/50] train_loss=3.1972 | val_loss=3.2671 | val_acc=0.2126 | best_val=3.2495@18 | bad=3/10 | lr=1.00e-03 | dt=18.6s
2025-10-05 11:15:12 - INFO - [epoch 22/50] train_loss=3.1777 | val_loss=3.2531 | val_acc=0.2086 | best_val=3.2495@18 | bad=4/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:15:30 - INFO - [epoch 23/50] train_loss=3.1571 | val_loss=3.2328 | val_acc=0.2214 | best_val=3.2328@23 | bad=0/10 | lr=1.00e-03 | dt=17.8s
2025-10-05 11:15:48 - INFO - [epoch 24/50] train_loss=3.1384 | val_loss=3.1869 | val_acc=0.2322 | best_val=3.1869@24 | bad=0/10 | lr=1.00e-03 | dt=17.9s
2025-10-05 11:16:06 - INFO - [epoch 25/50] train_loss=3.1279 | val_loss=3.1871 | val_acc=0.2304 | best_val=3.1869@24 | bad=1/10 | lr=1.00e-03 | dt=18.1s
2025-10-05 11:16:24 - INFO - [epoch 26/50] train_loss=3.1010 | val_loss=3.1786 | val_acc=0.2308 | best_val=3.1786@26 | bad=0/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:16:42 - INFO - [epoch 27/50] train_loss=3.0912 | val_loss=3.2877 | val_acc=0.2134 | best_val=3.1786@26 | bad=1/10 | lr=1.00e-03 | dt=18.3s
2025-10-05 11:17:02 - INFO - [epoch 28/50] train_loss=3.0798 | val_loss=3.2948 | val_acc=0.2060 | best_val=3.1786@26 | bad=2/10 | lr=1.00e-03 | dt=19.4s
2025-10-05 11:17:20 - INFO - [epoch 29/50] train_loss=3.0653 | val_loss=3.1719 | val_acc=0.2288 | best_val=3.1719@29 | bad=0/10 | lr=1.00e-03 | dt=18.8s
2025-10-05 11:17:39 - INFO - [epoch 30/50] train_loss=3.0512 | val_loss=3.1365 | val_acc=0.2406 | best_val=3.1365@30 | bad=0/10 | lr=1.00e-03 | dt=18.5s
2025-10-05 11:17:57 - INFO - [epoch 31/50] train_loss=3.0411 | val_loss=3.1823 | val_acc=0.2286 | best_val=3.1365@30 | bad=1/10 | lr=1.00e-03 | dt=18.6s
2025-10-05 11:18:16 - INFO - [epoch 32/50] train_loss=3.0271 | val_loss=3.1696 | val_acc=0.2398 | best_val=3.1365@30 | bad=2/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:18:34 - INFO - [epoch 33/50] train_loss=3.0185 | val_loss=3.2070 | val_acc=0.2218 | best_val=3.1365@30 | bad=3/10 | lr=1.00e-03 | dt=17.8s
2025-10-05 11:18:52 - INFO - [epoch 34/50] train_loss=3.0063 | val_loss=3.1292 | val_acc=0.2352 | best_val=3.1292@34 | bad=0/10 | lr=1.00e-03 | dt=18.1s
2025-10-05 11:19:10 - INFO - [epoch 35/50] train_loss=2.9889 | val_loss=3.1651 | val_acc=0.2254 | best_val=3.1292@34 | bad=1/10 | lr=1.00e-03 | dt=18.1s
2025-10-05 11:19:27 - INFO - [epoch 36/50] train_loss=2.9824 | val_loss=3.2027 | val_acc=0.2374 | best_val=3.1292@34 | bad=2/10 | lr=1.00e-03 | dt=17.7s
2025-10-05 11:19:46 - INFO - [epoch 37/50] train_loss=2.9727 | val_loss=3.0633 | val_acc=0.2554 | best_val=3.0633@37 | bad=0/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:20:04 - INFO - [epoch 38/50] train_loss=2.9634 | val_loss=3.0300 | val_acc=0.2608 | best_val=3.0300@38 | bad=0/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:20:22 - INFO - [epoch 39/50] train_loss=2.9646 | val_loss=3.2423 | val_acc=0.2220 | best_val=3.0300@38 | bad=1/10 | lr=1.00e-03 | dt=18.1s
2025-10-05 11:20:40 - INFO - [epoch 40/50] train_loss=2.9409 | val_loss=3.0362 | val_acc=0.2594 | best_val=3.0300@38 | bad=2/10 | lr=1.00e-03 | dt=17.8s
2025-10-05 11:20:58 - INFO - [epoch 41/50] train_loss=2.9310 | val_loss=3.0372 | val_acc=0.2568 | best_val=3.0300@38 | bad=3/10 | lr=1.00e-03 | dt=18.0s
2025-10-05 11:21:16 - INFO - [epoch 42/50] train_loss=2.9256 | val_loss=3.0438 | val_acc=0.2552 | best_val=3.0300@38 | bad=4/10 | lr=1.00e-03 | dt=18.2s
2025-10-05 11:21:34 - INFO - [epoch 43/50] train_loss=2.9139 | val_loss=2.9839 | val_acc=0.2714 | best_val=2.9839@43 | bad=0/10 | lr=1.00e-03 | dt=17.7s
