[2026-05-16 17:57:59] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 17:57:59] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_016_d2_w18/training_log.txt
[2026-05-16 17:57:59] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_016_d2_w18/training_stats.csv
[2026-05-16 17:58:02] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=1 train_loss=0.550122 val_loss=0.544355 best=0.544355 es=0/5
[2026-05-16 17:58:05] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=2 train_loss=0.534439 val_loss=0.538148 best=0.538148 es=0/5
[2026-05-16 17:58:08] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=3 train_loss=0.530902 val_loss=0.535513 best=0.535513 es=0/5
[2026-05-16 17:58:11] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=4 train_loss=0.528927 val_loss=0.533569 best=0.533569 es=0/5
[2026-05-16 17:58:14] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=5 train_loss=0.527093 val_loss=0.531816 best=0.531816 es=0/5
[2026-05-16 17:58:17] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=6 train_loss=0.525345 val_loss=0.529949 best=0.529949 es=0/5
[2026-05-16 17:58:20] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=7 train_loss=0.523612 val_loss=0.528250 best=0.528250 es=0/5
[2026-05-16 17:58:23] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=8 train_loss=0.521930 val_loss=0.526655 best=0.526655 es=0/5
[2026-05-16 17:58:26] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=9 train_loss=0.520408 val_loss=0.525133 best=0.525133 es=0/5
[2026-05-16 17:58:29] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=10 train_loss=0.518915 val_loss=0.523809 best=0.523809 es=0/5
[2026-05-16 17:58:32] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=11 train_loss=0.517807 val_loss=0.522811 best=0.522811 es=0/5
[2026-05-16 17:58:35] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=12 train_loss=0.516901 val_loss=0.521960 best=0.521960 es=0/5
[2026-05-16 17:58:38] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=13 train_loss=0.516140 val_loss=0.521304 best=0.521304 es=0/5
[2026-05-16 17:58:41] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=14 train_loss=0.515596 val_loss=0.520831 best=0.520831 es=0/5
[2026-05-16 17:58:44] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=15 train_loss=0.515155 val_loss=0.520425 best=0.520425 es=0/5
[2026-05-16 17:58:47] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=16 train_loss=0.514813 val_loss=0.520095 best=0.520095 es=0/5
[2026-05-16 17:58:50] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=17 train_loss=0.514552 val_loss=0.519967 best=0.519967 es=0/5
[2026-05-16 17:58:53] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=18 train_loss=0.514470 val_loss=0.519849 best=0.519849 es=0/5
[2026-05-16 17:58:56] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=19 train_loss=0.514541 val_loss=0.519752 best=0.519849 es=1/5
[2026-05-16 17:59:00] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=20 train_loss=0.514273 val_loss=0.519670 best=0.519670 es=0/5
[2026-05-16 17:59:02] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=21 train_loss=0.514142 val_loss=0.519437 best=0.519437 es=0/5
[2026-05-16 17:59:06] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=22 train_loss=0.514035 val_loss=0.519472 best=0.519437 es=1/5
[2026-05-16 17:59:09] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=23 train_loss=0.514032 val_loss=0.519351 best=0.519437 es=2/5
[2026-05-16 17:59:12] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=24 train_loss=0.513970 val_loss=0.519350 best=0.519437 es=3/5
[2026-05-16 17:59:15] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=25 train_loss=0.513978 val_loss=0.519248 best=0.519248 es=0/5
[2026-05-16 17:59:18] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=26 train_loss=0.513883 val_loss=0.519152 best=0.519248 es=1/5
[2026-05-16 17:59:21] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=27 train_loss=0.513821 val_loss=0.519132 best=0.519132 es=0/5
[2026-05-16 17:59:24] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=28 train_loss=0.513778 val_loss=0.519104 best=0.519132 es=1/5
[2026-05-16 17:59:27] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=29 train_loss=0.513759 val_loss=0.519038 best=0.519132 es=2/5
[2026-05-16 17:59:30] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=30 train_loss=0.513660 val_loss=0.518983 best=0.518983 es=0/5
[2026-05-16 17:59:34] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=31 train_loss=0.513580 val_loss=0.518942 best=0.518983 es=1/5
[2026-05-16 17:59:37] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=32 train_loss=0.513597 val_loss=0.518908 best=0.518983 es=2/5
[2026-05-16 17:59:40] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=33 train_loss=0.513503 val_loss=0.518854 best=0.518854 es=0/5
[2026-05-16 17:59:43] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=34 train_loss=0.513589 val_loss=0.518915 best=0.518854 es=1/5
[2026-05-16 17:59:46] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=35 train_loss=0.513519 val_loss=0.518847 best=0.518854 es=2/5
[2026-05-16 17:59:49] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=36 train_loss=0.513618 val_loss=0.518929 best=0.518854 es=3/5
[2026-05-16 17:59:52] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=37 train_loss=0.513496 val_loss=0.518795 best=0.518854 es=4/5
[2026-05-16 17:59:55] [autoencoding][ae_width_to_depth][cand_016_d2_w18] epoch=38 train_loss=0.513500 val_loss=0.518846 best=0.518854 es=5/5
