task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail
autoencoding,ae_width_to_depth,0,cand_000_d2_w2,"[2, 2]",0.9120986188734849,150,155,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_000_d2_w2/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_000_d2_w2/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,1,cand_001_d2_w3,"[3, 3]",0.861355769130745,294,299,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_001_d2_w3/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_001_d2_w3/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,2,cand_002_d2_w4,"[4, 4]",0.8328983483210941,174,179,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_002_d2_w4/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_002_d2_w4/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,3,cand_003_d2_w5,"[5, 5]",0.8011769615752986,198,203,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_003_d2_w5/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_003_d2_w5/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,4,cand_004_d2_w6,"[6, 6]",0.7762831864538616,149,154,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_004_d2_w6/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_004_d2_w6/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,5,cand_005_d2_w7,"[7, 7]",0.7525517426842685,103,108,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_005_d2_w7/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_005_d2_w7/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,6,cand_006_d2_w8,"[8, 8]",0.7301167501327891,38,43,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_006_d2_w8/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_006_d2_w8/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,7,cand_007_d2_w9,"[9, 9]",0.7024818507203695,173,178,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_007_d2_w9/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_007_d2_w9/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,8,cand_008_d2_w10,"[10, 10]",0.6826085341532537,38,43,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_008_d2_w10/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_008_d2_w10/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,9,cand_009_d2_w11,"[11, 11]",0.6609590130683997,84,89,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_009_d2_w11/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_009_d2_w11/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,10,cand_010_d2_w12,"[12, 12]",0.6408036838332704,45,50,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_010_d2_w12/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_010_d2_w12/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,11,cand_011_d2_w13,"[13, 13]",0.6187639826433693,51,56,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_011_d2_w13/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_011_d2_w13/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,12,cand_012_d2_w14,"[14, 14]",0.5982129292464216,57,62,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_012_d2_w14/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_012_d2_w14/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,13,cand_013_d2_w15,"[15, 15]",0.5782210940089879,63,68,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_013_d2_w15/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_013_d2_w15/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,14,cand_014_d2_w16,"[16, 16]",0.5574721212403582,53,58,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_014_d2_w16/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_014_d2_w16/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,15,cand_015_d2_w17,"[17, 17]",0.5380729554583843,45,50,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_015_d2_w17/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_015_d2_w17/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,16,cand_016_d2_w18,"[18, 18]",0.518853522834982,33,38,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_016_d2_w18/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_016_d2_w18/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,17,cand_017_d2_w19,"[19, 19]",0.4979056277842766,43,48,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_017_d2_w19/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_017_d2_w19/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,18,cand_018_d2_w20,"[20, 20]",0.4787768473717676,30,35,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_018_d2_w20/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_018_d2_w20/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,19,cand_019_d2_w21,"[21, 21]",0.459447981352523,29,34,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_019_d2_w21/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_019_d2_w21/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,20,cand_020_d2_w22,"[22, 22]",0.4393556863620945,38,43,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_020_d2_w22/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_020_d2_w22/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,21,cand_021_d2_w23,"[23, 23]",0.41938326018808325,46,51,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_021_d2_w23/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_021_d2_w23/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,22,cand_022_d2_w24,"[24, 24]",0.39985600662304077,41,46,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_022_d2_w24/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_022_d2_w24/checkpoint_last.pt,True,width,0,0
