[2026-05-16 10:45:49] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 10:45:49] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_008_d2_w10/training_log.txt
[2026-05-16 10:45:49] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_008_d2_w10/training_stats.csv
[2026-05-16 10:45:52] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=1 train_loss=0.807986 val_loss=0.754094 best=0.754094 es=0/5
[2026-05-16 10:45:54] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=2 train_loss=0.733475 val_loss=0.730668 best=0.730668 es=0/5
[2026-05-16 10:45:57] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=3 train_loss=0.715241 val_loss=0.718343 best=0.718343 es=0/5
[2026-05-16 10:45:59] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=4 train_loss=0.708002 val_loss=0.712943 best=0.712943 es=0/5
[2026-05-16 10:46:02] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=5 train_loss=0.704292 val_loss=0.709745 best=0.709745 es=0/5
[2026-05-16 10:46:04] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=6 train_loss=0.701808 val_loss=0.707454 best=0.707454 es=0/5
[2026-05-16 10:46:07] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=7 train_loss=0.699786 val_loss=0.705544 best=0.705544 es=0/5
[2026-05-16 10:46:10] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=8 train_loss=0.697994 val_loss=0.703853 best=0.703853 es=0/5
[2026-05-16 10:46:12] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=9 train_loss=0.696462 val_loss=0.702343 best=0.702343 es=0/5
[2026-05-16 10:46:15] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=10 train_loss=0.694881 val_loss=0.700813 best=0.700813 es=0/5
[2026-05-16 10:46:17] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=11 train_loss=0.693452 val_loss=0.699349 best=0.699349 es=0/5
[2026-05-16 10:46:20] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=12 train_loss=0.692029 val_loss=0.697800 best=0.697800 es=0/5
[2026-05-16 10:46:22] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=13 train_loss=0.690448 val_loss=0.696311 best=0.696311 es=0/5
[2026-05-16 10:46:25] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=14 train_loss=0.688947 val_loss=0.694761 best=0.694761 es=0/5
[2026-05-16 10:46:27] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=15 train_loss=0.687473 val_loss=0.693295 best=0.693295 es=0/5
[2026-05-16 10:46:30] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=16 train_loss=0.686149 val_loss=0.692030 best=0.692030 es=0/5
[2026-05-16 10:46:32] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=17 train_loss=0.685028 val_loss=0.690925 best=0.690925 es=0/5
[2026-05-16 10:46:35] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=18 train_loss=0.683882 val_loss=0.689769 best=0.689769 es=0/5
[2026-05-16 10:46:37] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=19 train_loss=0.682799 val_loss=0.688873 best=0.688873 es=0/5
[2026-05-16 10:46:40] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=20 train_loss=0.682048 val_loss=0.688094 best=0.688094 es=0/5
[2026-05-16 10:46:42] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=21 train_loss=0.681436 val_loss=0.687511 best=0.687511 es=0/5
[2026-05-16 10:46:45] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=22 train_loss=0.680881 val_loss=0.687047 best=0.687047 es=0/5
[2026-05-16 10:46:47] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=23 train_loss=0.680342 val_loss=0.686570 best=0.686570 es=0/5
[2026-05-16 10:46:50] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=24 train_loss=0.679921 val_loss=0.686273 best=0.686273 es=0/5
[2026-05-16 10:46:52] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=25 train_loss=0.679674 val_loss=0.686013 best=0.686013 es=0/5
[2026-05-16 10:46:55] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=26 train_loss=0.679425 val_loss=0.685799 best=0.685799 es=0/5
[2026-05-16 10:46:57] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=27 train_loss=0.679230 val_loss=0.685611 best=0.685611 es=0/5
[2026-05-16 10:47:00] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=28 train_loss=0.679057 val_loss=0.685380 best=0.685380 es=0/5
[2026-05-16 10:47:03] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=29 train_loss=0.678875 val_loss=0.685208 best=0.685208 es=0/5
[2026-05-16 10:47:05] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=30 train_loss=0.678714 val_loss=0.685126 best=0.685208 es=1/5
[2026-05-16 10:47:08] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=31 train_loss=0.678682 val_loss=0.685076 best=0.685076 es=0/5
[2026-05-16 10:47:10] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=32 train_loss=0.678705 val_loss=0.685095 best=0.685076 es=1/5
[2026-05-16 10:47:13] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=33 train_loss=0.678491 val_loss=0.684926 best=0.684926 es=0/5
[2026-05-16 10:47:15] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=34 train_loss=0.678317 val_loss=0.684767 best=0.684767 es=0/5
[2026-05-16 10:47:18] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=35 train_loss=0.678207 val_loss=0.684695 best=0.684767 es=1/5
[2026-05-16 10:47:20] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=36 train_loss=0.678175 val_loss=0.684557 best=0.684557 es=0/5
[2026-05-16 10:47:23] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=37 train_loss=0.677999 val_loss=0.684469 best=0.684557 es=1/5
[2026-05-16 10:47:25] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=38 train_loss=0.678169 val_loss=0.684410 best=0.684410 es=0/5
[2026-05-16 10:47:28] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=39 train_loss=0.677932 val_loss=0.684442 best=0.684410 es=1/5
[2026-05-16 10:47:30] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=40 train_loss=0.677868 val_loss=0.684314 best=0.684410 es=2/5
[2026-05-16 10:47:33] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=41 train_loss=0.677742 val_loss=0.684293 best=0.684293 es=0/5
[2026-05-16 10:47:35] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=42 train_loss=0.677734 val_loss=0.684174 best=0.684174 es=0/5
[2026-05-16 10:47:38] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=43 train_loss=0.677727 val_loss=0.684130 best=0.684174 es=1/5
[2026-05-16 10:47:40] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=44 train_loss=0.677622 val_loss=0.684085 best=0.684174 es=2/5
[2026-05-16 10:47:43] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=45 train_loss=0.677540 val_loss=0.684015 best=0.684015 es=0/5
[2026-05-16 10:47:45] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=46 train_loss=0.677456 val_loss=0.683946 best=0.684015 es=1/5
[2026-05-16 10:47:47] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=47 train_loss=0.677471 val_loss=0.683932 best=0.684015 es=2/5
[2026-05-16 10:47:50] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=48 train_loss=0.677375 val_loss=0.683886 best=0.683886 es=0/5
[2026-05-16 10:47:53] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=49 train_loss=0.677346 val_loss=0.683873 best=0.683886 es=1/5
[2026-05-16 10:47:55] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=50 train_loss=0.677283 val_loss=0.683773 best=0.683773 es=0/5
[2026-05-16 10:47:57] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=51 train_loss=0.677268 val_loss=0.683764 best=0.683773 es=1/5
[2026-05-16 10:48:00] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=52 train_loss=0.677171 val_loss=0.683731 best=0.683773 es=2/5
[2026-05-16 10:48:02] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=53 train_loss=0.677180 val_loss=0.683637 best=0.683637 es=0/5
[2026-05-16 10:48:05] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=54 train_loss=0.677188 val_loss=0.683668 best=0.683637 es=1/5
[2026-05-16 10:48:08] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=55 train_loss=0.677042 val_loss=0.683562 best=0.683637 es=2/5
[2026-05-16 10:48:10] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=56 train_loss=0.677041 val_loss=0.683520 best=0.683520 es=0/5
[2026-05-16 10:48:13] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=57 train_loss=0.676950 val_loss=0.683493 best=0.683520 es=1/5
[2026-05-16 10:48:15] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=58 train_loss=0.676914 val_loss=0.683503 best=0.683520 es=2/5
[2026-05-16 10:48:18] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=59 train_loss=0.677114 val_loss=0.683563 best=0.683520 es=3/5
[2026-05-16 10:48:20] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=60 train_loss=0.676887 val_loss=0.683480 best=0.683520 es=4/5
[2026-05-16 10:48:23] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=61 train_loss=0.676783 val_loss=0.683402 best=0.683402 es=0/5
[2026-05-16 10:48:25] [representation][ae_width_to_depth][cand_008_d2_w10] epoch=62 train_loss=0.676744 val_loss=0.683340 best=0.683402 es=1/5
