task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
prediction,ae_width_to_depth,width_to_depth,0.0002721167984418571,,,0.0017684169579297304,,DAE/DNN/results/goliath_w2d_20260516/prediction/ae_width_to_depth/cand_253_d2_w255/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/prediction/ae_width_to_depth/cand_253_d2_w255
prediction,stl_from_ae_width_to_depth,stl_refit,0.33261337876319885,45,50,0.3288881480693817,,DAE/DNN/results/goliath_w2d_20260516/prediction/stl_from_ae_width_to_depth/cand_000_d2_w255/checkpoint_best.pt,cand_000_d2_w255
prediction,ae_width_to_depth,width_to_depth,0.0002721167984418571,,,0.0017684169579297304,,DAE/DNN/results/goliath_w2d_20260516/prediction/ae_width_to_depth/cand_253_d2_w255/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/prediction/ae_width_to_depth/cand_253_d2_w255
prediction,stl_from_ae_width_to_depth,stl_refit,0.33261337876319885,45,50,0.3288881480693817,,DAE/DNN/results/goliath_w2d_20260516/prediction/stl_from_ae_width_to_depth/cand_000_d2_w255/checkpoint_best.pt,cand_000_d2_w255
representation,ae_width_to_depth,width_to_depth,9.79849225552413e-05,,,0.006519309887571323,,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_463_d2_w466/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_463_d2_w466
representation,stl_from_ae_width_to_depth,stl_refit,0.22734591363244774,77,82,0.2294662610760482,0.9101048174730211,DAE/DNN/results/goliath_w2d_20260516/representation/stl_from_ae_width_to_depth/cand_000_d2_w466/checkpoint_best.pt,cand_000_d2_w466
prediction,ae_width_to_depth,width_to_depth,0.0002721167984418571,,,0.0017684169579297304,,DAE/DNN/results/goliath_w2d_20260516/prediction/ae_width_to_depth/cand_253_d2_w255/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/prediction/ae_width_to_depth/cand_253_d2_w255
prediction,stl_from_ae_width_to_depth,stl_refit,0.33261337876319885,45,50,0.3288881480693817,,DAE/DNN/results/goliath_w2d_20260516/prediction/stl_from_ae_width_to_depth/cand_000_d2_w255/checkpoint_best.pt,cand_000_d2_w255
representation,ae_width_to_depth,width_to_depth,9.79849225552413e-05,,,0.006519309887571323,,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_463_d2_w466/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_463_d2_w466
representation,stl_from_ae_width_to_depth,stl_refit,0.22734591363244774,77,82,0.2294662610760482,0.9101048174730211,DAE/DNN/results/goliath_w2d_20260516/representation/stl_from_ae_width_to_depth/cand_000_d2_w466/checkpoint_best.pt,cand_000_d2_w466
