timestamp,model,mode,epoch,width,depth,train_loss,val_loss,task,phase,candidate_dir,neurons,best_val,best_epoch,es_counter,improved,train_acc,val_acc,throughput
2026-05-16 12:03:27,representation_grid,grid,1,16,2,1.1063661958912723,1.008231563573532,representation,grid,cand_005_d2_w16,86,1.008231563573532,1,0,True,,,
2026-05-16 12:03:30,representation_grid,grid,2,16,2,0.9992543035416186,0.9646467899993452,representation,grid,cand_005_d2_w16,86,0.9646467899993452,2,0,True,,,
2026-05-16 12:03:32,representation_grid,grid,3,16,2,0.9385843752222026,0.9210017620650313,representation,grid,cand_005_d2_w16,86,0.9210017620650313,3,0,True,,,
2026-05-16 12:03:34,representation_grid,grid,4,16,2,0.8986383737876281,0.8866186821161782,representation,grid,cand_005_d2_w16,86,0.8866186821161782,4,0,True,,,
2026-05-16 12:03:37,representation_grid,grid,5,16,2,0.8679574393679282,0.8575132044547047,representation,grid,cand_005_d2_w16,86,0.8575132044547047,5,0,True,,,
2026-05-16 12:03:39,representation_grid,grid,6,16,2,0.8410367251032383,0.8317552166675237,representation,grid,cand_005_d2_w16,86,0.8317552166675237,6,0,True,,,
2026-05-16 12:03:42,representation_grid,grid,7,16,2,0.8165629529983266,0.8082674378881036,representation,grid,cand_005_d2_w16,86,0.8082674378881036,7,0,True,,,
2026-05-16 12:03:44,representation_grid,grid,8,16,2,0.7939220899800133,0.7857238946708905,representation,grid,cand_005_d2_w16,86,0.7857238946708905,8,0,True,,,
2026-05-16 12:03:46,representation_grid,grid,9,16,2,0.7729650906645409,0.7657881177695995,representation,grid,cand_005_d2_w16,86,0.7657881177695995,9,0,True,,,
2026-05-16 12:03:49,representation_grid,grid,10,16,2,0.7537200098732135,0.747307725563999,representation,grid,cand_005_d2_w16,86,0.747307725563999,10,0,True,,,
2026-05-16 12:03:51,representation_grid,grid,11,16,2,0.7363980303848137,0.7315707263580336,representation,grid,cand_005_d2_w16,86,0.7315707263580336,11,0,True,,,
2026-05-16 12:03:54,representation_grid,grid,12,16,2,0.720890709563722,0.7169422693134464,representation,grid,cand_005_d2_w16,86,0.7169422693134464,12,0,True,,,
2026-05-16 12:03:56,representation_grid,grid,13,16,2,0.7067214000109913,0.7034345613621826,representation,grid,cand_005_d2_w16,86,0.7034345613621826,13,0,True,,,
2026-05-16 12:03:59,representation_grid,grid,14,16,2,0.6939599091780324,0.6916455151372,representation,grid,cand_005_d2_w16,86,0.6916455151372,14,0,True,,,
2026-05-16 12:04:01,representation_grid,grid,15,16,2,0.6823677534088232,0.6806492089365532,representation,grid,cand_005_d2_w16,86,0.6806492089365532,15,0,True,,,
2026-05-16 12:04:04,representation_grid,grid,16,16,2,0.6717145037770064,0.6705216296012425,representation,grid,cand_005_d2_w16,86,0.6705216296012425,16,0,True,,,
2026-05-16 12:04:06,representation_grid,grid,17,16,2,0.6620821741392028,0.6612924559202825,representation,grid,cand_005_d2_w16,86,0.6612924559202825,17,0,True,,,
2026-05-16 12:04:09,representation_grid,grid,18,16,2,0.653232426793252,0.6526391826833814,representation,grid,cand_005_d2_w16,86,0.6526391826833814,18,0,True,,,
2026-05-16 12:04:11,representation_grid,grid,19,16,2,0.6451283501941667,0.6448895558182691,representation,grid,cand_005_d2_w16,86,0.6448895558182691,19,0,True,,,
2026-05-16 12:04:14,representation_grid,grid,20,16,2,0.6377654115777888,0.6377220980944736,representation,grid,cand_005_d2_w16,86,0.6377220980944736,20,0,True,,,
2026-05-16 12:04:16,representation_grid,grid,21,16,2,0.6310214568683765,0.6311757035457407,representation,grid,cand_005_d2_w16,86,0.6311757035457407,21,0,True,,,
2026-05-16 12:04:19,representation_grid,grid,22,16,2,0.624909572352954,0.6252297603419861,representation,grid,cand_005_d2_w16,86,0.6252297603419861,22,0,True,,,
2026-05-16 12:04:21,representation_grid,grid,23,16,2,0.6192480336588521,0.6196770844091284,representation,grid,cand_005_d2_w16,86,0.6196770844091284,23,0,True,,,
2026-05-16 12:04:24,representation_grid,grid,24,16,2,0.6140534722272337,0.6148192652689463,representation,grid,cand_005_d2_w16,86,0.6148192652689463,24,0,True,,,
2026-05-16 12:04:26,representation_grid,grid,25,16,2,0.6093217642304563,0.6103084839885468,representation,grid,cand_005_d2_w16,86,0.6103084839885468,25,0,True,,,
2026-05-16 12:04:28,representation_grid,grid,26,16,2,0.6050559721718644,0.6059805237855647,representation,grid,cand_005_d2_w16,86,0.6059805237855647,26,0,True,,,
2026-05-16 12:04:31,representation_grid,grid,27,16,2,0.6012460367329926,0.6023338500838815,representation,grid,cand_005_d2_w16,86,0.6023338500838815,27,0,True,,,
2026-05-16 12:04:33,representation_grid,grid,28,16,2,0.5978404213956382,0.598884752868931,representation,grid,cand_005_d2_w16,86,0.598884752868931,28,0,True,,,
2026-05-16 12:04:36,representation_grid,grid,29,16,2,0.5947301479648881,0.5960171720535997,representation,grid,cand_005_d2_w16,86,0.5960171720535997,29,0,True,,,
2026-05-16 12:04:38,representation_grid,grid,30,16,2,0.5920103105099219,0.5932454416602945,representation,grid,cand_005_d2_w16,86,0.5932454416602945,30,0,True,,,
2026-05-16 12:04:41,representation_grid,grid,31,16,2,0.5894832038527519,0.5909522238152115,representation,grid,cand_005_d2_w16,86,0.5909522238152115,31,0,True,,,
2026-05-16 12:04:43,representation_grid,grid,32,16,2,0.5873085748984926,0.5887780816952531,representation,grid,cand_005_d2_w16,86,0.5887780816952531,32,0,True,,,
2026-05-16 12:04:46,representation_grid,grid,33,16,2,0.5853687289062182,0.5868374926453295,representation,grid,cand_005_d2_w16,86,0.5868374926453295,33,0,True,,,
2026-05-16 12:04:48,representation_grid,grid,34,16,2,0.5836114528921338,0.5851668029337774,representation,grid,cand_005_d2_w16,86,0.5851668029337774,34,0,True,,,
2026-05-16 12:04:51,representation_grid,grid,35,16,2,0.5819520272936967,0.5836422159498164,representation,grid,cand_005_d2_w16,86,0.5836422159498164,35,0,True,,,
2026-05-16 12:04:53,representation_grid,grid,36,16,2,0.5805059826350203,0.5822011283064822,representation,grid,cand_005_d2_w16,86,0.5822011283064822,36,0,True,,,
2026-05-16 12:04:56,representation_grid,grid,37,16,2,0.5791759143002675,0.5808894204536537,representation,grid,cand_005_d2_w16,86,0.5808894204536537,37,0,True,,,
2026-05-16 12:04:58,representation_grid,grid,38,16,2,0.5779531032195157,0.5796705328415488,representation,grid,cand_005_d2_w16,86,0.5796705328415488,38,0,True,,,
2026-05-16 12:05:01,representation_grid,grid,39,16,2,0.5768273117207268,0.5785993461824239,representation,grid,cand_005_d2_w16,86,0.5785993461824239,39,0,True,,,
2026-05-16 12:05:03,representation_grid,grid,40,16,2,0.5758195771266403,0.5775287182041253,representation,grid,cand_005_d2_w16,86,0.5775287182041253,40,0,True,,,
2026-05-16 12:05:05,representation_grid,grid,41,16,2,0.57490058231958,0.576658886491845,representation,grid,cand_005_d2_w16,86,0.576658886491845,41,0,True,,,
2026-05-16 12:05:08,representation_grid,grid,42,16,2,0.5740878936609962,0.5758404012875447,representation,grid,cand_005_d2_w16,86,0.5758404012875447,42,0,True,,,
2026-05-16 12:05:10,representation_grid,grid,43,16,2,0.5732611570805353,0.5749991294597033,representation,grid,cand_005_d2_w16,86,0.5749991294597033,43,0,True,,,
2026-05-16 12:05:13,representation_grid,grid,44,16,2,0.5725112728029665,0.5742406304884966,representation,grid,cand_005_d2_w16,86,0.5742406304884966,44,0,True,,,
