[2026-05-16 16:45:46] Initialized ContinuousLogger for representation_grid (Mode: grid)
[2026-05-16 16:45:46] Logs: DAE/DNN/results/search_suite_20260516/representation/grid/cand_051_d5_w108/training_log.txt
[2026-05-16 16:45:46] CSV: DAE/DNN/results/search_suite_20260516/representation/grid/cand_051_d5_w108/training_stats.csv
[2026-05-16 16:45:49] [representation][grid][cand_051_d5_w108] epoch=1 train_loss=0.811129 val_loss=0.910869 best=0.910869 es=0/5
[2026-05-16 16:45:51] [representation][grid][cand_051_d5_w108] epoch=2 train_loss=0.506679 val_loss=0.520561 best=0.520561 es=0/5
[2026-05-16 16:45:54] [representation][grid][cand_051_d5_w108] epoch=3 train_loss=0.357145 val_loss=0.293682 best=0.293682 es=0/5
[2026-05-16 16:45:57] [representation][grid][cand_051_d5_w108] epoch=4 train_loss=0.250933 val_loss=0.189366 best=0.189366 es=0/5
[2026-05-16 16:45:59] [representation][grid][cand_051_d5_w108] epoch=5 train_loss=0.175448 val_loss=0.130288 best=0.130288 es=0/5
[2026-05-16 16:46:02] [representation][grid][cand_051_d5_w108] epoch=6 train_loss=0.125844 val_loss=0.095986 best=0.095986 es=0/5
[2026-05-16 16:46:04] [representation][grid][cand_051_d5_w108] epoch=7 train_loss=0.094594 val_loss=0.075812 best=0.075812 es=0/5
[2026-05-16 16:46:07] [representation][grid][cand_051_d5_w108] epoch=8 train_loss=0.075683 val_loss=0.063439 best=0.063439 es=0/5
[2026-05-16 16:46:10] [representation][grid][cand_051_d5_w108] epoch=9 train_loss=0.063793 val_loss=0.054064 best=0.054064 es=0/5
[2026-05-16 16:46:12] [representation][grid][cand_051_d5_w108] epoch=10 train_loss=0.055396 val_loss=0.047258 best=0.047258 es=0/5
[2026-05-16 16:46:15] [representation][grid][cand_051_d5_w108] epoch=11 train_loss=0.047829 val_loss=0.041200 best=0.041200 es=0/5
[2026-05-16 16:46:17] [representation][grid][cand_051_d5_w108] epoch=12 train_loss=0.044753 val_loss=0.037391 best=0.037391 es=0/5
[2026-05-16 16:46:20] [representation][grid][cand_051_d5_w108] epoch=13 train_loss=0.038901 val_loss=0.035971 best=0.035971 es=0/5
[2026-05-16 16:46:23] [representation][grid][cand_051_d5_w108] epoch=14 train_loss=0.036412 val_loss=0.032138 best=0.032138 es=0/5
[2026-05-16 16:46:25] [representation][grid][cand_051_d5_w108] epoch=15 train_loss=0.033197 val_loss=0.029083 best=0.029083 es=0/5
[2026-05-16 16:46:28] [representation][grid][cand_051_d5_w108] epoch=16 train_loss=0.030421 val_loss=0.026967 best=0.026967 es=0/5
[2026-05-16 16:46:30] [representation][grid][cand_051_d5_w108] epoch=17 train_loss=0.028512 val_loss=0.025586 best=0.025586 es=0/5
[2026-05-16 16:46:33] [representation][grid][cand_051_d5_w108] epoch=18 train_loss=0.026538 val_loss=0.024930 best=0.024930 es=0/5
