[2026-05-16 17:32:52] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 17:32:52] Logs: DAE/DNN/results/search_suite_20260516/representation/random/cand_008_d3_w2/training_log.txt
[2026-05-16 17:32:52] CSV: DAE/DNN/results/search_suite_20260516/representation/random/cand_008_d3_w2/training_stats.csv
[2026-05-16 17:32:54] [representation][random][cand_008_d3_w2] epoch=1 train_loss=1.314985 val_loss=1.171556 best=1.171556 es=0/5
[2026-05-16 17:32:57] [representation][random][cand_008_d3_w2] epoch=2 train_loss=1.265007 val_loss=1.207292 best=1.171556 es=1/5
[2026-05-16 17:32:59] [representation][random][cand_008_d3_w2] epoch=3 train_loss=1.229294 val_loss=1.219900 best=1.171556 es=2/5
[2026-05-16 17:33:02] [representation][random][cand_008_d3_w2] epoch=4 train_loss=1.202283 val_loss=1.205276 best=1.171556 es=3/5
[2026-05-16 17:33:04] [representation][random][cand_008_d3_w2] epoch=5 train_loss=1.180528 val_loss=1.186149 best=1.171556 es=4/5
[2026-05-16 17:33:07] [representation][random][cand_008_d3_w2] epoch=6 train_loss=1.161094 val_loss=1.165251 best=1.165251 es=0/5
[2026-05-16 17:33:09] [representation][random][cand_008_d3_w2] epoch=7 train_loss=1.144160 val_loss=1.147422 best=1.147422 es=0/5
[2026-05-16 17:33:12] [representation][random][cand_008_d3_w2] epoch=8 train_loss=1.129232 val_loss=1.132242 best=1.132242 es=0/5
[2026-05-16 17:33:14] [representation][random][cand_008_d3_w2] epoch=9 train_loss=1.116023 val_loss=1.117679 best=1.117679 es=0/5
[2026-05-16 17:33:17] [representation][random][cand_008_d3_w2] epoch=10 train_loss=1.104009 val_loss=1.105161 best=1.105161 es=0/5
[2026-05-16 17:33:19] [representation][random][cand_008_d3_w2] epoch=11 train_loss=1.093001 val_loss=1.093629 best=1.093629 es=0/5
[2026-05-16 17:33:21] [representation][random][cand_008_d3_w2] epoch=12 train_loss=1.082781 val_loss=1.083294 best=1.083294 es=0/5
[2026-05-16 17:33:24] [representation][random][cand_008_d3_w2] epoch=13 train_loss=1.073238 val_loss=1.073131 best=1.073131 es=0/5
[2026-05-16 17:33:26] [representation][random][cand_008_d3_w2] epoch=14 train_loss=1.064225 val_loss=1.063869 best=1.063869 es=0/5
[2026-05-16 17:33:29] [representation][random][cand_008_d3_w2] epoch=15 train_loss=1.055609 val_loss=1.054885 best=1.054885 es=0/5
[2026-05-16 17:33:31] [representation][random][cand_008_d3_w2] epoch=16 train_loss=1.046959 val_loss=1.046249 best=1.046249 es=0/5
[2026-05-16 17:33:34] [representation][random][cand_008_d3_w2] epoch=17 train_loss=1.037624 val_loss=1.039199 best=1.039199 es=0/5
[2026-05-16 17:33:36] [representation][random][cand_008_d3_w2] epoch=18 train_loss=1.029560 val_loss=1.032826 best=1.032826 es=0/5
[2026-05-16 17:33:39] [representation][random][cand_008_d3_w2] epoch=19 train_loss=1.022770 val_loss=1.026112 best=1.026112 es=0/5
[2026-05-16 17:33:41] [representation][random][cand_008_d3_w2] epoch=20 train_loss=1.016354 val_loss=1.020416 best=1.020416 es=0/5
[2026-05-16 17:33:43] [representation][random][cand_008_d3_w2] epoch=21 train_loss=1.010972 val_loss=1.015656 best=1.015656 es=0/5
[2026-05-16 17:33:46] [representation][random][cand_008_d3_w2] epoch=22 train_loss=1.006393 val_loss=1.011298 best=1.011298 es=0/5
[2026-05-16 17:33:48] [representation][random][cand_008_d3_w2] epoch=23 train_loss=1.002271 val_loss=1.007401 best=1.007401 es=0/5
[2026-05-16 17:33:51] [representation][random][cand_008_d3_w2] epoch=24 train_loss=0.998448 val_loss=1.003729 best=1.003729 es=0/5
[2026-05-16 17:33:53] [representation][random][cand_008_d3_w2] epoch=25 train_loss=0.994842 val_loss=1.000231 best=1.000231 es=0/5
[2026-05-16 17:33:56] [representation][random][cand_008_d3_w2] epoch=26 train_loss=0.991424 val_loss=0.997009 best=0.997009 es=0/5
[2026-05-16 17:33:58] [representation][random][cand_008_d3_w2] epoch=27 train_loss=0.988168 val_loss=0.993924 best=0.993924 es=0/5
[2026-05-16 17:34:01] [representation][random][cand_008_d3_w2] epoch=28 train_loss=0.985098 val_loss=0.991000 best=0.991000 es=0/5
[2026-05-16 17:34:03] [representation][random][cand_008_d3_w2] epoch=29 train_loss=0.982278 val_loss=0.988254 best=0.988254 es=0/5
[2026-05-16 17:34:06] [representation][random][cand_008_d3_w2] epoch=30 train_loss=0.979638 val_loss=0.985741 best=0.985741 es=0/5
[2026-05-16 17:34:08] [representation][random][cand_008_d3_w2] epoch=31 train_loss=0.977144 val_loss=0.983292 best=0.983292 es=0/5
[2026-05-16 17:34:10] [representation][random][cand_008_d3_w2] epoch=32 train_loss=0.974797 val_loss=0.981043 best=0.981043 es=0/5
[2026-05-16 17:34:13] [representation][random][cand_008_d3_w2] epoch=33 train_loss=0.972554 val_loss=0.978886 best=0.978886 es=0/5
