module,mode,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,0,cand_000_d1_w1,[1],0.9413283778257484,117,127,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_000_d1_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_000_d1_w1/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,cand_001_d1_w2,[2],0.8882883943129922,97,107,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_001_d1_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_001_d1_w2/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,2,cand_002_d1_w3,[3],0.8449160994413365,55,65,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_002_d1_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_002_d1_w3/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,3,cand_003_d1_w4,[4],0.8084050168857888,57,67,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_003_d1_w4/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_003_d1_w4/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,4,cand_004_d1_w5,[5],0.7808564855002678,51,61,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_004_d1_w5/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_004_d1_w5/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,5,cand_005_d1_w6,[6],0.754839222466391,56,66,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_005_d1_w6/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_005_d1_w6/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,6,cand_006_d1_w7,[7],0.7329921340692479,63,73,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_006_d1_w7/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_006_d1_w7/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,7,cand_007_d1_w8,[8],0.712811382315934,85,95,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_007_d1_w8/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_007_d1_w8/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,8,cand_008_d1_w9,[9],0.6933656743556768,26,36,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_008_d1_w9/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_008_d1_w9/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,9,cand_009_d1_w10,[10],0.6730986606257932,11,21,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_009_d1_w10/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_009_d1_w10/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,10,cand_010_d1_w11,[11],0.654376917919586,21,31,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_010_d1_w11/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_010_d1_w11/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,11,cand_011_d1_w12,[12],0.6359092212827585,29,39,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_011_d1_w12/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_011_d1_w12/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,12,cand_012_d1_w13,[13],0.6164859196400737,57,67,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_012_d1_w13/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_012_d1_w13/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,13,cand_013_d1_w14,[14],0.5975070732942442,34,44,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_013_d1_w14/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_013_d1_w14/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,14,cand_014_d1_w15,[15],0.5789767707016494,17,27,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_014_d1_w15/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_014_d1_w15/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,15,cand_015_d1_w16,[16],0.558380487797127,15,25,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_015_d1_w16/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_015_d1_w16/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,16,cand_016_d1_w17,[17],0.53993433460931,14,24,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_016_d1_w17/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_016_d1_w17/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,17,cand_017_d1_w18,[18],0.5209802943120013,10,20,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_017_d1_w18/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_017_d1_w18/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,18,cand_018_d1_w19,[19],0.5021798653451057,10,20,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_018_d1_w19/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_018_d1_w19/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,19,cand_019_d1_w20,[20],0.48139343643746146,7,17,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_019_d1_w20/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_019_d1_w20/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,20,cand_020_d1_w21,[21],0.4618460295023938,8,18,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_020_d1_w21/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_020_d1_w21/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,21,cand_021_d1_w22,[22],0.4431562621013525,10,20,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_021_d1_w22/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_021_d1_w22/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,22,cand_022_d1_w23,[23],0.424461596572369,7,17,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_022_d1_w23/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_022_d1_w23/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,23,cand_023_d1_w24,[24],0.405873472420858,10,20,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_023_d1_w24/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_023_d1_w24/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,24,cand_024_d1_w25,[25],0.3869492004472531,15,25,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_024_d1_w25/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_024_d1_w25/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,25,cand_025_d1_w26,[26],0.3675025422257816,10,20,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_025_d1_w26/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_025_d1_w26/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,26,cand_026_d1_w27,[27],0.3479907521620726,10,20,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_026_d1_w27/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_026_d1_w27/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,27,cand_027_d1_w28,[28],0.3286930920124645,9,19,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_027_d1_w28/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_027_d1_w28/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,28,cand_028_d1_w29,[29],0.31047392176468913,26,36,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_028_d1_w29/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_028_d1_w29/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,29,cand_029_d1_w30,[30],0.2924912156502648,28,38,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_029_d1_w30/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_029_d1_w30/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,30,cand_030_d1_w31,[31],0.27380866742672066,18,28,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_030_d1_w31/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_030_d1_w31/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,31,cand_031_d1_w32,[32],0.2551471065942791,19,29,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_031_d1_w32/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_031_d1_w32/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,32,cand_032_d1_w33,[33],0.2361905305805195,33,43,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_032_d1_w33/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_032_d1_w33/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,33,cand_033_d1_w34,[34],0.21548971276484666,50,60,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_033_d1_w34/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_033_d1_w34/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,34,cand_034_d1_w35,[35],0.19590131651467602,32,42,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_034_d1_w35/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_034_d1_w35/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,35,cand_035_d1_w36,[36],0.17600552707936698,23,33,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_035_d1_w36/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_035_d1_w36/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,36,cand_036_d1_w37,[37],0.15504195795548795,18,28,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_036_d1_w37/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_036_d1_w37/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,37,cand_037_d1_w38,[38],0.12900493600610463,40,50,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_037_d1_w38/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_037_d1_w38/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,38,cand_038_d1_w39,[39],0.11024791758680415,51,61,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_038_d1_w39/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_038_d1_w39/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,39,cand_039_d1_w40,[40],0.09485837984615668,95,105,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_039_d1_w40/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_039_d1_w40/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,40,cand_040_d1_w41,[41],0.08020258789486107,32,42,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_040_d1_w41/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_040_d1_w41/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,41,cand_041_d1_w42,[42],0.06786066112789697,88,98,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_041_d1_w42/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_041_d1_w42/checkpoint_last.pt,True,width,0,0
MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,42,cand_042_d1_w43,[43],0.0567792661858527,25,35,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_042_d1_w43/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_03/denoising/cand_042_d1_w43/checkpoint_last.pt,True,width,0,0
