[2026-06-13 20:12:08] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:12:08] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_011_d1_w12/training_log.txt
[2026-06-13 20:12:08] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_011_d1_w12/training_stats.csv
[2026-06-13 20:12:08] Epoch 1 | architecture=[12] train_loss=0.035922 val_loss=0.026663 best=0.026663 es=0/10
[2026-06-13 20:12:09] Epoch 1 | architecture=[12] train_loss=0.029414 val_loss=0.027102 best=0.027102 es=0/10
[2026-06-13 20:12:09] Epoch 1 | architecture=[12] train_loss=0.027354 val_loss=0.028314 best=0.028314 es=0/10
[2026-06-13 20:12:09] Epoch 1 | architecture=[12] train_loss=0.026105 val_loss=0.026154 best=0.026154 es=0/10
[2026-06-13 20:12:09] Epoch 1 | architecture=[12] train_loss=0.025728 val_loss=0.025231 best=0.025231 es=0/10
[2026-06-13 20:12:10] Epoch 1 | architecture=[12] train_loss=0.024567 val_loss=0.026523 best=0.026523 es=0/10
[2026-06-13 20:12:10] Epoch 1 | architecture=[12] train_loss=0.024974 val_loss=0.028556 best=0.028556 es=0/10
[2026-06-13 20:12:10] Epoch 1 | architecture=[12] train_loss=0.025336 val_loss=0.029728 best=0.029728 es=0/10
[2026-06-13 20:12:10] Epoch 1 | architecture=[12] train_loss=0.024936 val_loss=0.028473 best=0.028473 es=0/10
[2026-06-13 20:12:11] Epoch 1 | architecture=[12] train_loss=0.024864 val_loss=0.026971 best=0.026971 es=0/10
[2026-06-13 20:12:11] Epoch 1 | architecture=[12] train_loss=0.024488 val_loss=0.025038 best=0.025038 es=0/10
[2026-06-13 20:12:11] Epoch 1 | architecture=[12] train_loss=0.024122 val_loss=0.023519 best=0.023519 es=0/10
[2026-06-13 20:12:11] Epoch 1 | architecture=[12] train_loss=0.024255 val_loss=0.023086 best=0.023086 es=0/10
[2026-06-13 20:12:12] Epoch 1 | architecture=[12] train_loss=0.024635 val_loss=0.023005 best=0.023005 es=0/10
[2026-06-13 20:12:12] Epoch 1 | architecture=[12] train_loss=0.023597 val_loss=0.023367 best=0.023367 es=0/10
[2026-06-13 20:12:12] Epoch 1 | architecture=[12] train_loss=0.023598 val_loss=0.024492 best=0.024492 es=0/10
[2026-06-13 20:12:12] Epoch 1 | architecture=[12] train_loss=0.023747 val_loss=0.025751 best=0.025751 es=0/10
[2026-06-13 20:12:12] Epoch 1 | architecture=[12] train_loss=0.023626 val_loss=0.026492 best=0.026492 es=0/10
[2026-06-13 20:12:13] Epoch 1 | architecture=[12] train_loss=0.023416 val_loss=0.026513 best=0.026513 es=0/10
[2026-06-13 20:12:13] Epoch 1 | architecture=[12] train_loss=0.023866 val_loss=0.025668 best=0.025668 es=0/10
[2026-06-13 20:12:13] Epoch 1 | architecture=[12] train_loss=0.023516 val_loss=0.024165 best=0.024165 es=0/10
[2026-06-13 20:12:13] Epoch 1 | architecture=[12] train_loss=0.023528 val_loss=0.023227 best=0.023227 es=0/10
[2026-06-13 20:12:14] Epoch 1 | architecture=[12] train_loss=0.023164 val_loss=0.022924 best=0.022924 es=0/10
[2026-06-13 20:12:14] Epoch 1 | architecture=[12] train_loss=0.023279 val_loss=0.022820 best=0.022820 es=0/10
[2026-06-13 20:12:14] Epoch 1 | architecture=[12] train_loss=0.023420 val_loss=0.023010 best=0.023010 es=0/10
[2026-06-13 20:12:14] Epoch 1 | architecture=[12] train_loss=0.023219 val_loss=0.023493 best=0.023493 es=0/10
[2026-06-13 20:12:15] Epoch 1 | architecture=[12] train_loss=0.022890 val_loss=0.024239 best=0.024239 es=0/10
[2026-06-13 20:12:15] Epoch 1 | architecture=[12] train_loss=0.023057 val_loss=0.025060 best=0.025060 es=0/10
[2026-06-13 20:12:15] Epoch 1 | architecture=[12] train_loss=0.023178 val_loss=0.025137 best=0.025137 es=0/10
[2026-06-13 20:12:15] Epoch 1 | architecture=[12] train_loss=0.023406 val_loss=0.024981 best=0.024981 es=0/10
[2026-06-13 20:12:15] Epoch 1 | architecture=[12] train_loss=0.022941 val_loss=0.024050 best=0.024050 es=0/10
[2026-06-13 20:12:16] Epoch 1 | architecture=[12] train_loss=0.023551 val_loss=0.023444 best=0.023444 es=0/10
[2026-06-13 20:12:16] Epoch 1 | architecture=[12] train_loss=0.023149 val_loss=0.023148 best=0.023148 es=0/10
[2026-06-13 20:12:16] Epoch 1 | architecture=[12] train_loss=0.023024 val_loss=0.022918 best=0.022918 es=0/10
