[2026-06-13 20:35:02] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:35:02] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_143_d2_w72/training_log.txt
[2026-06-13 20:35:02] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_143_d2_w72/training_stats.csv
[2026-06-13 20:35:02] Epoch 1 | architecture=[72, 72] train_loss=0.006619 val_loss=0.005901 best=0.005901 es=0/10
[2026-06-13 20:35:02] Epoch 1 | architecture=[72, 72] train_loss=0.004765 val_loss=0.006044 best=0.006044 es=0/10
[2026-06-13 20:35:02] Epoch 1 | architecture=[72, 72] train_loss=0.006449 val_loss=0.004030 best=0.004030 es=0/10
[2026-06-13 20:35:02] Epoch 1 | architecture=[72, 72] train_loss=0.004743 val_loss=0.003241 best=0.003241 es=0/10
[2026-06-13 20:35:03] Epoch 1 | architecture=[72, 72] train_loss=0.002734 val_loss=0.005408 best=0.005408 es=0/10
[2026-06-13 20:35:03] Epoch 1 | architecture=[72, 72] train_loss=0.003699 val_loss=0.004188 best=0.004188 es=0/10
[2026-06-13 20:35:03] Epoch 1 | architecture=[72, 72] train_loss=0.002058 val_loss=0.003355 best=0.003355 es=0/10
[2026-06-13 20:35:03] Epoch 1 | architecture=[72, 72] train_loss=0.002001 val_loss=0.003853 best=0.003853 es=0/10
[2026-06-13 20:35:03] Epoch 1 | architecture=[72, 72] train_loss=0.003011 val_loss=0.002660 best=0.002660 es=0/10
[2026-06-13 20:35:03] Epoch 1 | architecture=[72, 72] train_loss=0.002161 val_loss=0.002347 best=0.002347 es=0/10
[2026-06-13 20:35:04] Epoch 1 | architecture=[72, 72] train_loss=0.002516 val_loss=0.003387 best=0.003387 es=0/10
[2026-06-13 20:35:04] Epoch 1 | architecture=[72, 72] train_loss=0.002593 val_loss=0.002810 best=0.002810 es=0/10
[2026-06-13 20:35:04] Epoch 1 | architecture=[72, 72] train_loss=0.001548 val_loss=0.002177 best=0.002177 es=0/10
[2026-06-13 20:35:04] Epoch 1 | architecture=[72, 72] train_loss=0.002026 val_loss=0.002592 best=0.002592 es=0/10
[2026-06-13 20:35:05] Epoch 1 | architecture=[72, 72] train_loss=0.001891 val_loss=0.002456 best=0.002456 es=0/10
[2026-06-13 20:35:05] Epoch 1 | architecture=[72, 72] train_loss=0.002061 val_loss=0.002307 best=0.002307 es=0/10
[2026-06-13 20:35:05] Epoch 1 | architecture=[72, 72] train_loss=0.001535 val_loss=0.002516 best=0.002516 es=0/10
[2026-06-13 20:35:05] Epoch 1 | architecture=[72, 72] train_loss=0.001327 val_loss=0.002311 best=0.002311 es=0/10
[2026-06-13 20:35:05] Epoch 1 | architecture=[72, 72] train_loss=0.002354 val_loss=0.002109 best=0.002109 es=0/10
[2026-06-13 20:35:06] Epoch 1 | architecture=[72, 72] train_loss=0.001697 val_loss=0.001930 best=0.001930 es=0/10
[2026-06-13 20:35:06] Epoch 1 | architecture=[72, 72] train_loss=0.001502 val_loss=0.002170 best=0.002170 es=0/10
[2026-06-13 20:35:06] Epoch 1 | architecture=[72, 72] train_loss=0.002367 val_loss=0.002349 best=0.002349 es=0/10
[2026-06-13 20:35:06] Epoch 1 | architecture=[72, 72] train_loss=0.002529 val_loss=0.003056 best=0.003056 es=0/10
[2026-06-13 20:35:06] Epoch 1 | architecture=[72, 72] train_loss=0.001462 val_loss=0.002605 best=0.002605 es=0/10
[2026-06-13 20:35:07] Epoch 1 | architecture=[72, 72] train_loss=0.001565 val_loss=0.002289 best=0.002289 es=0/10
[2026-06-13 20:35:07] Epoch 1 | architecture=[72, 72] train_loss=0.001802 val_loss=0.002072 best=0.002072 es=0/10
[2026-06-13 20:35:07] Epoch 1 | architecture=[72, 72] train_loss=0.001262 val_loss=0.001891 best=0.001891 es=0/10
[2026-06-13 20:35:07] Epoch 1 | architecture=[72, 72] train_loss=0.002732 val_loss=0.001899 best=0.001899 es=0/10
[2026-06-13 20:35:07] Epoch 1 | architecture=[72, 72] train_loss=0.001373 val_loss=0.002142 best=0.002142 es=0/10
[2026-06-13 20:35:08] Epoch 1 | architecture=[72, 72] train_loss=0.001570 val_loss=0.002308 best=0.002308 es=0/10
