[2026-06-13 20:36:39] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:36:39] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_162_d3_w81/training_log.txt
[2026-06-13 20:36:39] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_162_d3_w81/training_stats.csv
[2026-06-13 20:36:39] Epoch 1 | architecture=[81, 81, 1] train_loss=3.551381 val_loss=4.269929 best=4.269929 es=0/10
[2026-06-13 20:36:40] Epoch 1 | architecture=[81, 81, 1] train_loss=2.578536 val_loss=4.181771 best=4.181771 es=0/10
[2026-06-13 20:36:40] Epoch 1 | architecture=[81, 81, 1] train_loss=2.170197 val_loss=3.825122 best=3.825122 es=0/10
[2026-06-13 20:36:40] Epoch 1 | architecture=[81, 81, 1] train_loss=1.886689 val_loss=3.238143 best=3.238143 es=0/10
[2026-06-13 20:36:40] Epoch 1 | architecture=[81, 81, 1] train_loss=1.700497 val_loss=2.669719 best=2.669719 es=0/10
[2026-06-13 20:36:41] Epoch 1 | architecture=[81, 81, 1] train_loss=1.651567 val_loss=2.317889 best=2.317889 es=0/10
[2026-06-13 20:36:41] Epoch 1 | architecture=[81, 81, 1] train_loss=1.598539 val_loss=2.159850 best=2.159850 es=0/10
[2026-06-13 20:36:41] Epoch 1 | architecture=[81, 81, 1] train_loss=1.547912 val_loss=2.102377 best=2.102377 es=0/10
[2026-06-13 20:36:41] Epoch 1 | architecture=[81, 81, 1] train_loss=1.506840 val_loss=2.038719 best=2.038719 es=0/10
[2026-06-13 20:36:41] Epoch 1 | architecture=[81, 81, 1] train_loss=1.468522 val_loss=1.917837 best=1.917837 es=0/10
[2026-06-13 20:36:42] Epoch 1 | architecture=[81, 81, 1] train_loss=1.443896 val_loss=1.787286 best=1.787286 es=0/10
[2026-06-13 20:36:42] Epoch 1 | architecture=[81, 81, 1] train_loss=1.412262 val_loss=1.654250 best=1.654250 es=0/10
[2026-06-13 20:36:42] Epoch 1 | architecture=[81, 81, 1] train_loss=1.383287 val_loss=1.545512 best=1.545512 es=0/10
[2026-06-13 20:36:42] Epoch 1 | architecture=[81, 81, 1] train_loss=1.358061 val_loss=1.477717 best=1.477717 es=0/10
[2026-06-13 20:36:42] Epoch 1 | architecture=[81, 81, 1] train_loss=1.324457 val_loss=1.436220 best=1.436220 es=0/10
[2026-06-13 20:36:43] Epoch 1 | architecture=[81, 81, 1] train_loss=1.300647 val_loss=1.418492 best=1.418492 es=0/10
[2026-06-13 20:36:43] Epoch 1 | architecture=[81, 81, 1] train_loss=1.279898 val_loss=1.402694 best=1.402694 es=0/10
[2026-06-13 20:36:43] Epoch 1 | architecture=[81, 81, 1] train_loss=1.259815 val_loss=1.380100 best=1.380100 es=0/10
[2026-06-13 20:36:43] Epoch 1 | architecture=[81, 81, 1] train_loss=1.238528 val_loss=1.357802 best=1.357802 es=0/10
[2026-06-13 20:36:44] Epoch 1 | architecture=[81, 81, 1] train_loss=1.216563 val_loss=1.342460 best=1.342460 es=0/10
[2026-06-13 20:36:44] Epoch 1 | architecture=[81, 81, 1] train_loss=1.189590 val_loss=1.314427 best=1.314427 es=0/10
[2026-06-13 20:36:44] Epoch 1 | architecture=[81, 81, 1] train_loss=1.171449 val_loss=1.298916 best=1.298916 es=0/10
[2026-06-13 20:36:44] Epoch 1 | architecture=[81, 81, 1] train_loss=1.147852 val_loss=1.274908 best=1.274908 es=0/10
[2026-06-13 20:36:44] Epoch 1 | architecture=[81, 81, 1] train_loss=1.127777 val_loss=1.248776 best=1.248776 es=0/10
[2026-06-13 20:36:45] Epoch 1 | architecture=[81, 81, 1] train_loss=1.108481 val_loss=1.226451 best=1.226451 es=0/10
