[2026-06-11 01:11:42] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-11 01:11:42] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_254_d3_w85/training_log.txt
[2026-06-11 01:11:42] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_01/simulation/cand_254_d3_w85/training_stats.csv
[2026-06-11 01:11:42] Epoch 1 | architecture=[85, 85, 85] train_loss=0.004964 val_loss=0.003420 best=0.003420 es=0/10
[2026-06-11 01:11:42] Epoch 1 | architecture=[85, 85, 85] train_loss=0.002385 val_loss=0.005452 best=0.005452 es=0/10
[2026-06-11 01:11:42] Epoch 1 | architecture=[85, 85, 85] train_loss=0.006585 val_loss=0.002367 best=0.002367 es=0/10
[2026-06-11 01:11:42] Epoch 1 | architecture=[85, 85, 85] train_loss=0.002898 val_loss=0.004521 best=0.004521 es=0/10
[2026-06-11 01:11:43] Epoch 1 | architecture=[85, 85, 85] train_loss=0.002995 val_loss=0.003566 best=0.003566 es=0/10
[2026-06-11 01:11:43] Epoch 1 | architecture=[85, 85, 85] train_loss=0.004598 val_loss=0.001654 best=0.001654 es=0/10
[2026-06-11 01:11:43] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001806 val_loss=0.001974 best=0.001974 es=0/10
[2026-06-11 01:11:43] Epoch 1 | architecture=[85, 85, 85] train_loss=0.002310 val_loss=0.002387 best=0.002387 es=0/10
[2026-06-11 01:11:43] Epoch 1 | architecture=[85, 85, 85] train_loss=0.002526 val_loss=0.000790 best=0.000790 es=0/10
[2026-06-11 01:11:44] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001438 val_loss=0.001284 best=0.001284 es=0/10
[2026-06-11 01:11:44] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001352 val_loss=0.001316 best=0.001316 es=0/10
[2026-06-11 01:11:44] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001610 val_loss=0.001385 best=0.001385 es=0/10
[2026-06-11 01:11:44] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001298 val_loss=0.000962 best=0.000962 es=0/10
[2026-06-11 01:11:44] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001837 val_loss=0.000818 best=0.000818 es=0/10
[2026-06-11 01:11:44] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001200 val_loss=0.000921 best=0.000921 es=0/10
[2026-06-11 01:11:45] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001577 val_loss=0.000821 best=0.000821 es=0/10
[2026-06-11 01:11:45] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001301 val_loss=0.000943 best=0.000943 es=0/10
[2026-06-11 01:11:45] Epoch 1 | architecture=[85, 85, 85] train_loss=0.000675 val_loss=0.000608 best=0.000608 es=0/10
[2026-06-11 01:11:45] Epoch 1 | architecture=[85, 85, 85] train_loss=0.000836 val_loss=0.000566 best=0.000566 es=0/10
[2026-06-11 01:11:45] Epoch 1 | architecture=[85, 85, 85] train_loss=0.000619 val_loss=0.000459 best=0.000459 es=0/10
[2026-06-11 01:11:46] Epoch 1 | architecture=[85, 85, 85] train_loss=0.002496 val_loss=0.000651 best=0.000651 es=0/10
[2026-06-11 01:11:46] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001107 val_loss=0.000464 best=0.000464 es=0/10
[2026-06-11 01:11:46] Epoch 1 | architecture=[85, 85, 85] train_loss=0.000491 val_loss=0.000460 best=0.000460 es=0/10
[2026-06-11 01:11:46] Epoch 1 | architecture=[85, 85, 85] train_loss=0.000521 val_loss=0.000536 best=0.000536 es=0/10
[2026-06-11 01:11:47] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001213 val_loss=0.000521 best=0.000521 es=0/10
[2026-06-11 01:11:47] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001593 val_loss=0.000500 best=0.000500 es=0/10
[2026-06-11 01:11:47] Epoch 1 | architecture=[85, 85, 85] train_loss=0.000900 val_loss=0.000450 best=0.000450 es=0/10
[2026-06-11 01:11:47] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001060 val_loss=0.000505 best=0.000505 es=0/10
[2026-06-11 01:11:47] Epoch 1 | architecture=[85, 85, 85] train_loss=0.000416 val_loss=0.000449 best=0.000449 es=0/10
[2026-06-11 01:11:48] Epoch 1 | architecture=[85, 85, 85] train_loss=0.001909 val_loss=0.000410 best=0.000410 es=0/10
