[2026-06-12 20:35:48] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-12 20:35:48] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_022_d1_w23/training_log.txt
[2026-06-12 20:35:48] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_022_d1_w23/training_stats.csv
[2026-06-12 20:35:48] Epoch 1 | architecture=[23] train_loss=0.020527 val_loss=0.027846 best=0.027846 es=0/10
[2026-06-12 20:35:48] Epoch 1 | architecture=[23] train_loss=0.020765 val_loss=0.026483 best=0.026483 es=0/10
[2026-06-12 20:35:48] Epoch 1 | architecture=[23] train_loss=0.020785 val_loss=0.020668 best=0.020668 es=0/10
[2026-06-12 20:35:49] Epoch 1 | architecture=[23] train_loss=0.020603 val_loss=0.019963 best=0.019963 es=0/10
[2026-06-12 20:35:49] Epoch 1 | architecture=[23] train_loss=0.020120 val_loss=0.019911 best=0.019911 es=0/10
[2026-06-12 20:35:49] Epoch 1 | architecture=[23] train_loss=0.019623 val_loss=0.020234 best=0.020234 es=0/10
[2026-06-12 20:35:49] Epoch 1 | architecture=[23] train_loss=0.019920 val_loss=0.021111 best=0.021111 es=0/10
[2026-06-12 20:35:49] Epoch 1 | architecture=[23] train_loss=0.019517 val_loss=0.021959 best=0.021959 es=0/10
[2026-06-12 20:35:50] Epoch 1 | architecture=[23] train_loss=0.019401 val_loss=0.022341 best=0.022341 es=0/10
[2026-06-12 20:35:50] Epoch 1 | architecture=[23] train_loss=0.019635 val_loss=0.021527 best=0.021527 es=0/10
[2026-06-12 20:35:50] Epoch 1 | architecture=[23] train_loss=0.019679 val_loss=0.020493 best=0.020493 es=0/10
[2026-06-12 20:35:50] Epoch 1 | architecture=[23] train_loss=0.019280 val_loss=0.020036 best=0.020036 es=0/10
[2026-06-12 20:35:51] Epoch 1 | architecture=[23] train_loss=0.019964 val_loss=0.020191 best=0.020191 es=0/10
[2026-06-12 20:35:51] Epoch 1 | architecture=[23] train_loss=0.019441 val_loss=0.020568 best=0.020568 es=0/10
