[2026-06-14 01:59:13] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-14 01:59:13] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_129_d2_w65/training_log.txt
[2026-06-14 01:59:13] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_129_d2_w65/training_stats.csv
[2026-06-14 01:59:14] Epoch 1 | architecture=[65, 65] train_loss=0.009488 val_loss=0.016709 best=0.016709 es=0/10
[2026-06-14 01:59:14] Epoch 1 | architecture=[65, 65] train_loss=0.004897 val_loss=0.010729 best=0.010729 es=0/10
[2026-06-14 01:59:15] Epoch 1 | architecture=[65, 65] train_loss=0.003524 val_loss=0.006356 best=0.006356 es=0/10
[2026-06-14 01:59:15] Epoch 1 | architecture=[65, 65] train_loss=0.002492 val_loss=0.004463 best=0.004463 es=0/10
[2026-06-14 01:59:15] Epoch 1 | architecture=[65, 65] train_loss=0.002847 val_loss=0.005143 best=0.005143 es=0/10
[2026-06-14 01:59:15] Epoch 1 | architecture=[65, 65] train_loss=0.002901 val_loss=0.006651 best=0.006651 es=0/10
[2026-06-14 01:59:16] Epoch 1 | architecture=[65, 65] train_loss=0.002038 val_loss=0.005120 best=0.005120 es=0/10
[2026-06-14 01:59:16] Epoch 1 | architecture=[65, 65] train_loss=0.001785 val_loss=0.003809 best=0.003809 es=0/10
[2026-06-14 01:59:16] Epoch 1 | architecture=[65, 65] train_loss=0.001809 val_loss=0.003906 best=0.003906 es=0/10
[2026-06-14 01:59:17] Epoch 1 | architecture=[65, 65] train_loss=0.002221 val_loss=0.004027 best=0.004027 es=0/10
[2026-06-14 01:59:17] Epoch 1 | architecture=[65, 65] train_loss=0.001442 val_loss=0.003386 best=0.003386 es=0/10
[2026-06-14 01:59:17] Epoch 1 | architecture=[65, 65] train_loss=0.002002 val_loss=0.002968 best=0.002968 es=0/10
[2026-06-14 01:59:18] Epoch 1 | architecture=[65, 65] train_loss=0.001519 val_loss=0.003360 best=0.003360 es=0/10
[2026-06-14 01:59:18] Epoch 1 | architecture=[65, 65] train_loss=0.002398 val_loss=0.003110 best=0.003110 es=0/10
[2026-06-14 01:59:18] Epoch 1 | architecture=[65, 65] train_loss=0.001502 val_loss=0.002376 best=0.002376 es=0/10
[2026-06-14 01:59:19] Epoch 1 | architecture=[65, 65] train_loss=0.001845 val_loss=0.002355 best=0.002355 es=0/10
[2026-06-14 01:59:19] Epoch 1 | architecture=[65, 65] train_loss=0.001469 val_loss=0.002367 best=0.002367 es=0/10
[2026-06-14 01:59:19] Epoch 1 | architecture=[65, 65] train_loss=0.001952 val_loss=0.002547 best=0.002547 es=0/10
[2026-06-14 01:59:19] Epoch 1 | architecture=[65, 65] train_loss=0.004652 val_loss=0.002908 best=0.002908 es=0/10
[2026-06-14 01:59:20] Epoch 1 | architecture=[65, 65] train_loss=0.002650 val_loss=0.002200 best=0.002200 es=0/10
[2026-06-14 01:59:20] Epoch 1 | architecture=[65, 65] train_loss=0.003020 val_loss=0.002162 best=0.002162 es=0/10
[2026-06-14 01:59:20] Epoch 1 | architecture=[65, 65] train_loss=0.001450 val_loss=0.002098 best=0.002098 es=0/10
[2026-06-14 01:59:21] Epoch 1 | architecture=[65, 65] train_loss=0.001685 val_loss=0.001995 best=0.001995 es=0/10
[2026-06-14 01:59:21] Epoch 1 | architecture=[65, 65] train_loss=0.002821 val_loss=0.002095 best=0.002095 es=0/10
[2026-06-14 01:59:22] Epoch 1 | architecture=[65, 65] train_loss=0.002085 val_loss=0.002257 best=0.002257 es=0/10
[2026-06-14 01:59:22] Epoch 1 | architecture=[65, 65] train_loss=0.002189 val_loss=0.002343 best=0.002343 es=0/10
[2026-06-14 01:59:22] Epoch 1 | architecture=[65, 65] train_loss=0.002737 val_loss=0.001872 best=0.001872 es=0/10
[2026-06-14 01:59:23] Epoch 1 | architecture=[65, 65] train_loss=0.002255 val_loss=0.002404 best=0.002404 es=0/10
[2026-06-14 01:59:23] Epoch 1 | architecture=[65, 65] train_loss=0.001650 val_loss=0.002361 best=0.002361 es=0/10
[2026-06-14 01:59:24] Epoch 1 | architecture=[65, 65] train_loss=0.002688 val_loss=0.002386 best=0.002386 es=0/10
[2026-06-14 01:59:24] Epoch 1 | architecture=[65, 65] train_loss=0.002154 val_loss=0.002710 best=0.002710 es=0/10
[2026-06-14 01:59:24] Epoch 1 | architecture=[65, 65] train_loss=0.001362 val_loss=0.002512 best=0.002512 es=0/10
[2026-06-14 01:59:24] Epoch 1 | architecture=[65, 65] train_loss=0.003482 val_loss=0.002324 best=0.002324 es=0/10
[2026-06-14 01:59:25] Epoch 1 | architecture=[65, 65] train_loss=0.002792 val_loss=0.001843 best=0.001843 es=0/10
[2026-06-14 01:59:25] Epoch 1 | architecture=[65, 65] train_loss=0.002096 val_loss=0.001944 best=0.001944 es=0/10
[2026-06-14 01:59:25] Epoch 1 | architecture=[65, 65] train_loss=0.001829 val_loss=0.002141 best=0.002141 es=0/10
[2026-06-14 01:59:26] Epoch 1 | architecture=[65, 65] train_loss=0.001457 val_loss=0.002158 best=0.002158 es=0/10
