[2026-06-15 07:34:15] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-15 07:34:15] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_04/simulation/cand_219_d3_w81/training_log.txt
[2026-06-15 07:34:15] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_04/simulation/cand_219_d3_w81/training_stats.csv
[2026-06-15 07:34:15] Epoch 1 | architecture=[81, 81, 58] train_loss=0.008096 val_loss=0.010858 best=0.010858 es=0/10
[2026-06-15 07:34:16] Epoch 1 | architecture=[81, 81, 58] train_loss=0.004580 val_loss=0.006512 best=0.006512 es=0/10
[2026-06-15 07:34:16] Epoch 1 | architecture=[81, 81, 58] train_loss=0.004507 val_loss=0.002621 best=0.002621 es=0/10
[2026-06-15 07:34:16] Epoch 1 | architecture=[81, 81, 58] train_loss=0.003117 val_loss=0.002206 best=0.002206 es=0/10
[2026-06-15 07:34:16] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001714 val_loss=0.002884 best=0.002884 es=0/10
[2026-06-15 07:34:17] Epoch 1 | architecture=[81, 81, 58] train_loss=0.002524 val_loss=0.003904 best=0.003904 es=0/10
[2026-06-15 07:34:17] Epoch 1 | architecture=[81, 81, 58] train_loss=0.002362 val_loss=0.001463 best=0.001463 es=0/10
[2026-06-15 07:34:17] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001654 val_loss=0.001320 best=0.001320 es=0/10
[2026-06-15 07:34:17] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001659 val_loss=0.001642 best=0.001642 es=0/10
[2026-06-15 07:34:18] Epoch 1 | architecture=[81, 81, 58] train_loss=0.002162 val_loss=0.001026 best=0.001026 es=0/10
[2026-06-15 07:34:18] Epoch 1 | architecture=[81, 81, 58] train_loss=0.000892 val_loss=0.001578 best=0.001578 es=0/10
[2026-06-15 07:34:18] Epoch 1 | architecture=[81, 81, 58] train_loss=0.002830 val_loss=0.001471 best=0.001471 es=0/10
[2026-06-15 07:34:18] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001379 val_loss=0.001485 best=0.001485 es=0/10
[2026-06-15 07:34:18] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001530 val_loss=0.000905 best=0.000905 es=0/10
[2026-06-15 07:34:19] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001235 val_loss=0.000953 best=0.000953 es=0/10
[2026-06-15 07:34:19] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001405 val_loss=0.001053 best=0.001053 es=0/10
[2026-06-15 07:34:19] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001207 val_loss=0.001041 best=0.001041 es=0/10
[2026-06-15 07:34:19] Epoch 1 | architecture=[81, 81, 58] train_loss=0.000946 val_loss=0.001140 best=0.001140 es=0/10
[2026-06-15 07:34:19] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001416 val_loss=0.000690 best=0.000690 es=0/10
[2026-06-15 07:34:20] Epoch 1 | architecture=[81, 81, 58] train_loss=0.000666 val_loss=0.000863 best=0.000863 es=0/10
[2026-06-15 07:34:20] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001344 val_loss=0.000736 best=0.000736 es=0/10
[2026-06-15 07:34:20] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001188 val_loss=0.000685 best=0.000685 es=0/10
[2026-06-15 07:34:20] Epoch 1 | architecture=[81, 81, 58] train_loss=0.000801 val_loss=0.000964 best=0.000964 es=0/10
[2026-06-15 07:34:21] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001240 val_loss=0.000664 best=0.000664 es=0/10
[2026-06-15 07:34:21] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001347 val_loss=0.000708 best=0.000708 es=0/10
[2026-06-15 07:34:21] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001274 val_loss=0.000695 best=0.000695 es=0/10
[2026-06-15 07:34:21] Epoch 1 | architecture=[81, 81, 58] train_loss=0.000595 val_loss=0.000826 best=0.000826 es=0/10
[2026-06-15 07:34:21] Epoch 1 | architecture=[81, 81, 58] train_loss=0.002126 val_loss=0.000805 best=0.000805 es=0/10
[2026-06-15 07:34:22] Epoch 1 | architecture=[81, 81, 58] train_loss=0.001006 val_loss=0.001042 best=0.001042 es=0/10
