[2026-05-20 12:51:53] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 12:51:53] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_067_d1_w68/training_log.txt
[2026-05-20 12:51:53] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_067_d1_w68/training_stats.csv
[2026-05-20 12:51:53] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=67 search_phase=width architecture=[68]
[2026-05-20 12:51:56] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=1 architecture=[68] train_loss=0.003924 val_loss=0.002908 best=0.002615 es=0/5
[2026-05-20 12:51:58] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=2 architecture=[68] train_loss=0.003249 val_loss=0.002590 best=0.002590 es=0/5
[2026-05-20 12:52:01] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=3 architecture=[68] train_loss=0.003098 val_loss=0.002528 best=0.002590 es=1/5
[2026-05-20 12:52:04] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=4 architecture=[68] train_loss=0.003138 val_loss=0.002535 best=0.002590 es=2/5
[2026-05-20 12:52:07] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=5 architecture=[68] train_loss=0.003054 val_loss=0.002509 best=0.002590 es=3/5
[2026-05-20 12:52:10] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=6 architecture=[68] train_loss=0.002980 val_loss=0.002471 best=0.002471 es=0/5
[2026-05-20 12:52:13] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=7 architecture=[68] train_loss=0.002927 val_loss=0.002433 best=0.002471 es=1/5
[2026-05-20 12:52:16] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=8 architecture=[68] train_loss=0.002940 val_loss=0.002413 best=0.002471 es=2/5
[2026-05-20 12:52:19] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=9 architecture=[68] train_loss=0.002876 val_loss=0.002455 best=0.002471 es=3/5
[2026-05-20 12:52:22] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=10 architecture=[68] train_loss=0.002821 val_loss=0.002333 best=0.002333 es=0/5
[2026-05-20 12:52:25] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=11 architecture=[68] train_loss=0.002852 val_loss=0.002347 best=0.002333 es=1/5
[2026-05-20 12:52:27] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=12 architecture=[68] train_loss=0.002783 val_loss=0.002378 best=0.002333 es=2/5
[2026-05-20 12:52:30] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=13 architecture=[68] train_loss=0.002826 val_loss=0.002296 best=0.002333 es=3/5
[2026-05-20 12:52:33] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=14 architecture=[68] train_loss=0.002799 val_loss=0.002259 best=0.002333 es=4/5
[2026-05-20 12:52:36] [autoencoding][ae_width_to_depth][cand_067_d1_w68] epoch=15 architecture=[68] train_loss=0.002764 val_loss=0.002259 best=0.002333 es=5/5
