[2026-05-20 08:12:55] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 08:12:55] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_004_d1_w5/training_log.txt
[2026-05-20 08:12:55] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_004_d1_w5/training_stats.csv
[2026-05-20 08:12:55] [CANDIDATE] task=autoencoding phase=ae_alt_width index=4 search_phase=width architecture=[5]
[2026-05-20 08:12:57] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=1 architecture=[5] train_loss=0.838383 val_loss=0.830829 best=0.821896 es=0/5
[2026-05-20 08:12:59] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=2 architecture=[5] train_loss=0.824846 val_loss=0.827152 best=0.821896 es=0/5
[2026-05-20 08:13:02] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=3 architecture=[5] train_loss=0.816657 val_loss=0.821579 best=0.821579 es=0/5
[2026-05-20 08:13:04] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=4 architecture=[5] train_loss=0.811142 val_loss=0.817254 best=0.817254 es=0/5
[2026-05-20 08:13:06] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=5 architecture=[5] train_loss=0.807475 val_loss=0.814479 best=0.814479 es=0/5
[2026-05-20 08:13:08] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=6 architecture=[5] train_loss=0.805061 val_loss=0.812674 best=0.812674 es=0/5
[2026-05-20 08:13:10] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=7 architecture=[5] train_loss=0.803476 val_loss=0.811371 best=0.811371 es=0/5
[2026-05-20 08:13:13] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=8 architecture=[5] train_loss=0.802309 val_loss=0.810376 best=0.810376 es=0/5
[2026-05-20 08:13:15] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=9 architecture=[5] train_loss=0.801370 val_loss=0.809502 best=0.809502 es=0/5
[2026-05-20 08:13:17] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=10 architecture=[5] train_loss=0.800568 val_loss=0.808755 best=0.808755 es=0/5
