[2026-05-20 12:09:54] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 12:09:54] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_031_d1_w32/training_log.txt
[2026-05-20 12:09:54] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_031_d1_w32/training_stats.csv
[2026-05-20 12:09:54] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=31 search_phase=width architecture=[32]
[2026-05-20 12:09:57] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=1 architecture=[32] train_loss=0.269203 val_loss=0.259718 best=0.259030 es=0/5
[2026-05-20 12:10:00] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=2 architecture=[32] train_loss=0.266308 val_loss=0.258401 best=0.258401 es=0/5
[2026-05-20 12:10:03] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=3 architecture=[32] train_loss=0.264792 val_loss=0.257037 best=0.257037 es=0/5
[2026-05-20 12:10:06] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=4 architecture=[32] train_loss=0.263510 val_loss=0.255483 best=0.255483 es=0/5
[2026-05-20 12:10:10] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=5 architecture=[32] train_loss=0.262089 val_loss=0.253836 best=0.253836 es=0/5
[2026-05-20 12:10:13] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=6 architecture=[32] train_loss=0.260308 val_loss=0.251477 best=0.251477 es=0/5
[2026-05-20 12:10:15] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=7 architecture=[32] train_loss=0.258296 val_loss=0.249647 best=0.249647 es=0/5
[2026-05-20 12:10:19] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=8 architecture=[32] train_loss=0.256430 val_loss=0.247849 best=0.247849 es=0/5
[2026-05-20 12:10:22] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=9 architecture=[32] train_loss=0.254613 val_loss=0.245888 best=0.245888 es=0/5
[2026-05-20 12:10:25] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=10 architecture=[32] train_loss=0.252971 val_loss=0.244064 best=0.244064 es=0/5
[2026-05-20 12:10:28] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=11 architecture=[32] train_loss=0.251757 val_loss=0.242778 best=0.242778 es=0/5
[2026-05-20 12:10:30] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=12 architecture=[32] train_loss=0.250581 val_loss=0.241689 best=0.241689 es=0/5
[2026-05-20 12:10:33] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=13 architecture=[32] train_loss=0.249802 val_loss=0.240980 best=0.240980 es=0/5
[2026-05-20 12:10:36] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=14 architecture=[32] train_loss=0.249031 val_loss=0.240240 best=0.240240 es=0/5
[2026-05-20 12:10:39] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=15 architecture=[32] train_loss=0.248436 val_loss=0.239701 best=0.239701 es=0/5
[2026-05-20 12:10:42] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=16 architecture=[32] train_loss=0.247784 val_loss=0.239079 best=0.239079 es=0/5
[2026-05-20 12:10:45] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=17 architecture=[32] train_loss=0.247411 val_loss=0.238761 best=0.238761 es=0/5
[2026-05-20 12:10:47] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=18 architecture=[32] train_loss=0.247244 val_loss=0.238580 best=0.238580 es=0/5
[2026-05-20 12:10:50] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=19 architecture=[32] train_loss=0.247065 val_loss=0.238530 best=0.238580 es=1/5
[2026-05-20 12:10:53] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=20 architecture=[32] train_loss=0.246747 val_loss=0.238526 best=0.238580 es=2/5
[2026-05-20 12:10:56] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=21 architecture=[32] train_loss=0.246594 val_loss=0.238449 best=0.238449 es=0/5
[2026-05-20 12:10:58] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=22 architecture=[32] train_loss=0.246432 val_loss=0.238233 best=0.238233 es=0/5
[2026-05-20 12:11:01] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=23 architecture=[32] train_loss=0.246379 val_loss=0.238395 best=0.238233 es=1/5
[2026-05-20 12:11:04] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=24 architecture=[32] train_loss=0.246254 val_loss=0.237989 best=0.237989 es=0/5
[2026-05-20 12:11:07] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=25 architecture=[32] train_loss=0.246208 val_loss=0.237725 best=0.237725 es=0/5
[2026-05-20 12:11:09] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=26 architecture=[32] train_loss=0.246191 val_loss=0.237877 best=0.237725 es=1/5
[2026-05-20 12:11:13] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=27 architecture=[32] train_loss=0.246089 val_loss=0.237838 best=0.237725 es=2/5
[2026-05-20 12:11:15] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=28 architecture=[32] train_loss=0.245949 val_loss=0.237835 best=0.237725 es=3/5
[2026-05-20 12:11:18] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=29 architecture=[32] train_loss=0.246022 val_loss=0.237917 best=0.237725 es=4/5
[2026-05-20 12:11:21] [autoencoding][ae_width_to_depth][cand_031_d1_w32] epoch=30 architecture=[32] train_loss=0.246094 val_loss=0.237887 best=0.237725 es=5/5
