[2026-05-18 02:23:15] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 02:23:15] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_115_d1_w116/training_log.txt
[2026-05-18 02:23:15] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_115_d1_w116/training_stats.csv
[2026-05-18 02:23:15] [CANDIDATE] task=representation phase=ae_alt_width index=115 search_phase=width architecture=[116]
[2026-05-18 02:23:21] [representation][ae_alt_width][cand_115_d1_w116] epoch=1 architecture=[116] train_loss=0.357882 val_loss=0.347729 best=0.343359 es=0/5
[2026-05-18 02:23:23] [representation][ae_alt_width][cand_115_d1_w116] epoch=2 architecture=[116] train_loss=0.342717 val_loss=0.345355 best=0.343359 es=0/5
[2026-05-18 02:23:25] [representation][ae_alt_width][cand_115_d1_w116] epoch=3 architecture=[116] train_loss=0.340976 val_loss=0.345269 best=0.343359 es=1/5
[2026-05-18 02:23:27] [representation][ae_alt_width][cand_115_d1_w116] epoch=4 architecture=[116] train_loss=0.340446 val_loss=0.345501 best=0.343359 es=2/5
[2026-05-18 02:23:33] [representation][ae_alt_width][cand_115_d1_w116] epoch=5 architecture=[116] train_loss=0.339838 val_loss=0.343127 best=0.343127 es=0/5
[2026-05-18 02:23:35] [representation][ae_alt_width][cand_115_d1_w116] epoch=6 architecture=[116] train_loss=0.339044 val_loss=0.342596 best=0.342596 es=0/5
[2026-05-18 02:23:37] [representation][ae_alt_width][cand_115_d1_w116] epoch=7 architecture=[116] train_loss=0.339488 val_loss=0.343157 best=0.342596 es=1/5
[2026-05-18 02:23:39] [representation][ae_alt_width][cand_115_d1_w116] epoch=8 architecture=[116] train_loss=0.339873 val_loss=0.344558 best=0.342596 es=2/5
[2026-05-18 02:23:41] [representation][ae_alt_width][cand_115_d1_w116] epoch=9 architecture=[116] train_loss=0.339618 val_loss=0.343582 best=0.342596 es=3/5
[2026-05-18 02:23:47] [representation][ae_alt_width][cand_115_d1_w116] epoch=10 architecture=[116] train_loss=0.338832 val_loss=0.344619 best=0.342596 es=4/5
[2026-05-18 02:23:49] [representation][ae_alt_width][cand_115_d1_w116] epoch=11 architecture=[116] train_loss=0.339198 val_loss=0.343054 best=0.342596 es=5/5
