[2026-05-24 07:49:16] Initialized ContinuousLogger for denoising_ae_alt_width (Mode: ae_alt_width)
[2026-05-24 07:49:16] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_alt_width/cand_027_d1_w28/training_log.txt
[2026-05-24 07:49:16] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_alt_width/cand_027_d1_w28/training_stats.csv
[2026-05-24 07:49:16] [CANDIDATE] task=denoising phase=ae_alt_width index=27 search_phase=width architecture=[28]
[2026-05-24 07:49:19] [denoising][ae_alt_width][cand_027_d1_w28] epoch=1 architecture=[28] train_loss=0.353643 val_loss=0.349036 candidate_best=0.349036 global_best=0.349036 es=0/5
[2026-05-24 07:49:22] [denoising][ae_alt_width][cand_027_d1_w28] epoch=2 architecture=[28] train_loss=0.347754 val_loss=0.348284 candidate_best=0.348284 global_best=0.348284 es=0/5
[2026-05-24 07:49:24] [denoising][ae_alt_width][cand_027_d1_w28] epoch=3 architecture=[28] train_loss=0.347405 val_loss=0.348312 candidate_best=0.348284 global_best=0.348284 es=1/5
[2026-05-24 07:49:27] [denoising][ae_alt_width][cand_027_d1_w28] epoch=4 architecture=[28] train_loss=0.347120 val_loss=0.347939 candidate_best=0.347939 global_best=0.347939 es=0/5
[2026-05-24 07:49:30] [denoising][ae_alt_width][cand_027_d1_w28] epoch=5 architecture=[28] train_loss=0.346960 val_loss=0.347882 candidate_best=0.347939 global_best=0.347939 es=1/5
[2026-05-24 07:49:32] [denoising][ae_alt_width][cand_027_d1_w28] epoch=6 architecture=[28] train_loss=0.346828 val_loss=0.347978 candidate_best=0.347939 global_best=0.347939 es=2/5
[2026-05-24 07:49:35] [denoising][ae_alt_width][cand_027_d1_w28] epoch=7 architecture=[28] train_loss=0.346814 val_loss=0.347767 candidate_best=0.347767 global_best=0.347767 es=0/5
[2026-05-24 07:49:38] [denoising][ae_alt_width][cand_027_d1_w28] epoch=8 architecture=[28] train_loss=0.346724 val_loss=0.347658 candidate_best=0.347658 global_best=0.347658 es=0/5
[2026-05-24 07:49:41] [denoising][ae_alt_width][cand_027_d1_w28] epoch=9 architecture=[28] train_loss=0.346635 val_loss=0.347703 candidate_best=0.347658 global_best=0.347658 es=1/5
[2026-05-24 07:49:44] [denoising][ae_alt_width][cand_027_d1_w28] epoch=10 architecture=[28] train_loss=0.346683 val_loss=0.347910 candidate_best=0.347658 global_best=0.347658 es=2/5
[2026-05-24 07:49:47] [denoising][ae_alt_width][cand_027_d1_w28] epoch=11 architecture=[28] train_loss=0.346678 val_loss=0.347688 candidate_best=0.347658 global_best=0.347658 es=3/5
[2026-05-24 07:49:50] [denoising][ae_alt_width][cand_027_d1_w28] epoch=12 architecture=[28] train_loss=0.346594 val_loss=0.347849 candidate_best=0.347658 global_best=0.347658 es=4/5
[2026-05-24 07:49:53] [denoising][ae_alt_width][cand_027_d1_w28] epoch=13 architecture=[28] train_loss=0.346551 val_loss=0.347719 candidate_best=0.347658 global_best=0.347658 es=5/5
