[2026-05-24 08:32:12] Initialized ContinuousLogger for denoising_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-24 08:32:12] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_width_to_depth/cand_013_d1_w14/training_log.txt
[2026-05-24 08:32:12] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_width_to_depth/cand_013_d1_w14/training_stats.csv
[2026-05-24 08:32:12] [CANDIDATE] task=denoising phase=ae_width_to_depth index=13 search_phase=width architecture=[14]
[2026-05-24 08:32:15] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=1 architecture=[14] train_loss=0.632186 val_loss=0.631886 candidate_best=0.631886 global_best=0.631886 es=0/5
[2026-05-24 08:32:18] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=2 architecture=[14] train_loss=0.626318 val_loss=0.631675 candidate_best=0.631675 global_best=0.631675 es=0/5
[2026-05-24 08:32:21] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=3 architecture=[14] train_loss=0.626068 val_loss=0.631461 candidate_best=0.631461 global_best=0.631461 es=0/5
[2026-05-24 08:32:24] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=4 architecture=[14] train_loss=0.625864 val_loss=0.631376 candidate_best=0.631461 global_best=0.631461 es=1/5
[2026-05-24 08:32:27] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=5 architecture=[14] train_loss=0.625625 val_loss=0.631467 candidate_best=0.631461 global_best=0.631461 es=2/5
[2026-05-24 08:32:30] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=6 architecture=[14] train_loss=0.625472 val_loss=0.631352 candidate_best=0.631352 global_best=0.631352 es=0/5
[2026-05-24 08:32:33] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=7 architecture=[14] train_loss=0.625409 val_loss=0.631417 candidate_best=0.631352 global_best=0.631352 es=1/5
[2026-05-24 08:32:36] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=8 architecture=[14] train_loss=0.625317 val_loss=0.631371 candidate_best=0.631352 global_best=0.631352 es=2/5
[2026-05-24 08:32:39] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=9 architecture=[14] train_loss=0.625316 val_loss=0.631431 candidate_best=0.631352 global_best=0.631352 es=3/5
[2026-05-24 08:32:42] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=10 architecture=[14] train_loss=0.625234 val_loss=0.631402 candidate_best=0.631352 global_best=0.631352 es=4/5
[2026-05-24 08:32:45] [denoising][ae_width_to_depth][cand_013_d1_w14] epoch=11 architecture=[14] train_loss=0.625201 val_loss=0.631470 candidate_best=0.631352 global_best=0.631352 es=5/5
