task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail,consecutive_fail,width_stage_improved,width_stage_margin_fail,width_stage_anchor_val,width_stage_margin_pct,warmup_to_uniform
representation,ae_width_only,0,cand_000_d5_w1,"[1, 1, 1, 1, 1]",1.0449573356755102,133,143,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_000_d5_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_000_d5_w1/checkpoint_last.pt,True,width,0,0,0,False,0,1.0449573356755102,inf,False
representation,ae_width_only,1,cand_001_d5_w2,"[2, 1, 1, 1, 1]",1.0152474038644133,54,64,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_001_d5_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_001_d5_w2/checkpoint_last.pt,True,width,0,0,0,True,0,1.0449573356755102,,False
representation,ae_width_only,2,cand_002_d5_w2,"[2, 2, 1, 1, 1]",1.0081631116917458,39,49,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_002_d5_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_002_d5_w2/checkpoint_last.pt,True,width,0,0,0,True,0,1.0449573356755102,,False
representation,ae_width_only,3,cand_003_d5_w2,"[2, 2, 2, 1, 1]",0.9976611664764188,59,69,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_003_d5_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_003_d5_w2/checkpoint_last.pt,True,width,0,0,0,True,0,1.0449573356755102,,False
representation,ae_width_only,4,cand_004_d5_w2,"[2, 2, 2, 2, 1]",0.9457146740479222,74,84,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_004_d5_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_004_d5_w2/checkpoint_last.pt,True,width,0,0,0,True,0,1.0449573356755102,,False
representation,ae_width_only,5,cand_005_d5_w2,"[2, 2, 2, 2, 2]",0.9437786744325408,28,38,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_005_d5_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_005_d5_w2/checkpoint_last.pt,True,width,0,0,0,False,0,0.9437786744325408,9.682563851045906,False
representation,ae_width_only,6,cand_006_d5_w3,"[3, 2, 2, 2, 2]",0.8088643467879123,90,100,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_006_d5_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_006_d5_w3/checkpoint_last.pt,True,width,0,0,0,True,0,0.9437786744325408,,False
representation,ae_width_only,7,cand_007_d5_w3,"[3, 3, 2, 2, 2]",0.7854567788666602,31,41,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_007_d5_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_007_d5_w3/checkpoint_last.pt,True,width,0,0,0,True,0,0.9437786744325408,,False
representation,ae_width_only,8,cand_008_d5_w3,"[3, 3, 3, 2, 2]",0.7692166397537545,66,76,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_008_d5_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_008_d5_w3/checkpoint_last.pt,True,width,0,0,0,True,0,0.9437786744325408,,False
representation,ae_width_only,9,cand_009_d5_w3,"[3, 3, 3, 3, 2]",0.7447385587619793,84,94,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_009_d5_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d5/representation/ae_width_only/cand_009_d5_w3/checkpoint_last.pt,True,width,0,0,0,True,0,0.9437786744325408,,False
