[2026-05-28 18:32:41] Initialized ContinuousLogger for representation_ae_width_only (Mode: ae_width_only)
[2026-05-28 18:32:41] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d1/representation/ae_width_only/cand_125_d1_w128/training_log.txt
[2026-05-28 18:32:41] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/representation_d1/representation/ae_width_only/cand_125_d1_w128/training_stats.csv
[2026-05-28 18:32:41] [CANDIDATE] task=representation phase=ae_width_only index=125 search_phase=width architecture=[128]
[2026-05-28 18:33:17] [representation][ae_width_only][cand_125_d1_w128] epoch=1 architecture=[128] train_loss=0.326442 val_loss=0.318741 candidate_best=0.318741 global_best=0.311660 es=0/10
[2026-05-28 18:33:27] [representation][ae_width_only][cand_125_d1_w128] epoch=2 architecture=[128] train_loss=0.309807 val_loss=0.311559 candidate_best=0.311559 global_best=0.311559 es=0/10
[2026-05-28 18:33:33] [representation][ae_width_only][cand_125_d1_w128] epoch=3 architecture=[128] train_loss=0.308649 val_loss=0.316404 candidate_best=0.311559 global_best=0.311559 es=1/10
[2026-05-28 18:33:42] [representation][ae_width_only][cand_125_d1_w128] epoch=4 architecture=[128] train_loss=0.310204 val_loss=0.313921 candidate_best=0.311559 global_best=0.311559 es=2/10
[2026-05-28 18:34:20] [representation][ae_width_only][cand_125_d1_w128] epoch=5 architecture=[128] train_loss=0.307166 val_loss=0.313493 candidate_best=0.311559 global_best=0.311559 es=3/10
[2026-05-28 18:34:28] [representation][ae_width_only][cand_125_d1_w128] epoch=6 architecture=[128] train_loss=0.307944 val_loss=0.314236 candidate_best=0.311559 global_best=0.311559 es=4/10
[2026-05-28 18:34:38] [representation][ae_width_only][cand_125_d1_w128] epoch=7 architecture=[128] train_loss=0.307725 val_loss=0.313823 candidate_best=0.311559 global_best=0.311559 es=5/10
[2026-05-28 18:34:48] [representation][ae_width_only][cand_125_d1_w128] epoch=8 architecture=[128] train_loss=0.307909 val_loss=0.312489 candidate_best=0.311559 global_best=0.311559 es=6/10
[2026-05-28 18:34:57] [representation][ae_width_only][cand_125_d1_w128] epoch=9 architecture=[128] train_loss=0.306785 val_loss=0.311465 candidate_best=0.311559 global_best=0.311559 es=7/10
[2026-05-28 18:35:30] [representation][ae_width_only][cand_125_d1_w128] epoch=10 architecture=[128] train_loss=0.307346 val_loss=0.310834 candidate_best=0.310834 global_best=0.310834 es=0/10
[2026-05-28 18:35:39] [representation][ae_width_only][cand_125_d1_w128] epoch=11 architecture=[128] train_loss=0.306404 val_loss=0.315597 candidate_best=0.310834 global_best=0.310834 es=1/10
[2026-05-28 18:35:46] [representation][ae_width_only][cand_125_d1_w128] epoch=12 architecture=[128] train_loss=0.308485 val_loss=0.312564 candidate_best=0.310834 global_best=0.310834 es=2/10
[2026-05-28 18:35:52] [representation][ae_width_only][cand_125_d1_w128] epoch=13 architecture=[128] train_loss=0.307881 val_loss=0.314186 candidate_best=0.310834 global_best=0.310834 es=3/10
[2026-05-28 18:35:59] [representation][ae_width_only][cand_125_d1_w128] epoch=14 architecture=[128] train_loss=0.306933 val_loss=0.312299 candidate_best=0.310834 global_best=0.310834 es=4/10
[2026-05-28 18:36:33] [representation][ae_width_only][cand_125_d1_w128] epoch=15 architecture=[128] train_loss=0.308263 val_loss=0.312531 candidate_best=0.310834 global_best=0.310834 es=5/10
[2026-05-28 18:36:41] [representation][ae_width_only][cand_125_d1_w128] epoch=16 architecture=[128] train_loss=0.306490 val_loss=0.311414 candidate_best=0.310834 global_best=0.310834 es=6/10
[2026-05-28 18:36:48] [representation][ae_width_only][cand_125_d1_w128] epoch=17 architecture=[128] train_loss=0.306991 val_loss=0.311376 candidate_best=0.310834 global_best=0.310834 es=7/10
[2026-05-28 18:36:54] [representation][ae_width_only][cand_125_d1_w128] epoch=18 architecture=[128] train_loss=0.307251 val_loss=0.316092 candidate_best=0.310834 global_best=0.310834 es=8/10
[2026-05-28 18:37:06] [representation][ae_width_only][cand_125_d1_w128] epoch=19 architecture=[128] train_loss=0.306555 val_loss=0.315113 candidate_best=0.310834 global_best=0.310834 es=9/10
[2026-05-28 18:37:34] [representation][ae_width_only][cand_125_d1_w128] epoch=20 architecture=[128] train_loss=0.307676 val_loss=0.312231 candidate_best=0.310834 global_best=0.310834 es=10/10
