task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail,consecutive_fail,width_stage_improved,width_stage_margin_fail,width_stage_anchor_val,width_stage_margin_pct
autoencoding,ae_width_to_depth,0,cand_000_d1_w1,[1],0.9507218268452691,176,181,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_000_d1_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_000_d1_w1/checkpoint_last.pt,True,width,0,0,0,False,0,0.9507218268452691,inf
autoencoding,ae_width_to_depth,1,cand_001_d1_w2,[2],0.897626225553288,161,166,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_001_d1_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_001_d1_w2/checkpoint_last.pt,True,width,0,0,0,False,0,0.897626225553288,5.584767257123515
autoencoding,ae_width_to_depth,2,cand_002_d1_w3,[3],0.858082024653609,181,186,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_002_d1_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_002_d1_w3/checkpoint_last.pt,True,width,0,0,0,False,0,0.858082024653609,4.405419513595903
autoencoding,ae_width_to_depth,3,cand_003_d1_w4,[4],0.8199791061667079,123,128,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_003_d1_w4/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_003_d1_w4/checkpoint_last.pt,True,width,0,0,0,False,0,0.8199791061667079,4.4404750818877226
autoencoding,ae_width_to_depth,4,cand_004_d1_w5,[5],0.7939471112397597,106,111,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_004_d1_w5/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_004_d1_w5/checkpoint_last.pt,True,width,0,0,0,False,0,0.7939471112397597,3.174714420303252
autoencoding,ae_width_to_depth,5,cand_005_d1_w6,[6],0.7620906339514714,78,83,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_005_d1_w6/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_005_d1_w6/checkpoint_last.pt,True,width,0,0,0,False,0,0.7620906339514714,4.012418061266573
autoencoding,ae_width_to_depth,6,cand_006_d1_w7,[7],0.741747844133239,38,43,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_006_d1_w7/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_006_d1_w7/checkpoint_last.pt,True,width,0,0,0,False,0,0.741747844133239,2.669339959310894
autoencoding,ae_width_to_depth,7,cand_007_d1_w8,[8],0.7188161748306789,77,82,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_007_d1_w8/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_007_d1_w8/checkpoint_last.pt,True,width,0,0,0,False,0,0.7188161748306789,3.091572086651174
autoencoding,ae_width_to_depth,8,cand_008_d1_w9,[9],0.6960892948611312,73,78,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_008_d1_w9/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_008_d1_w9/checkpoint_last.pt,True,width,0,0,0,False,0,0.6960892948611312,3.1617095949324088
autoencoding,ae_width_to_depth,9,cand_009_d1_w10,[10],0.6758111847347509,52,57,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_009_d1_w10/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_009_d1_w10/checkpoint_last.pt,True,width,0,0,0,False,0,0.6758111847347509,2.9131478211320316
autoencoding,ae_width_to_depth,10,cand_010_d1_w11,[11],0.6549713471200868,46,51,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_010_d1_w11/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_010_d1_w11/checkpoint_last.pt,True,width,0,0,0,False,0,0.6549713471200868,3.0836775249352457
autoencoding,ae_width_to_depth,11,cand_011_d1_w12,[12],0.6341596637641528,82,87,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_011_d1_w12/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_011_d1_w12/checkpoint_last.pt,True,width,0,0,0,False,0,0.6341596637641528,3.177495236615018
