[2026-05-18 19:34:13] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-18 19:34:13] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_width_to_depth/cand_020_d1_w21/training_log.txt
[2026-05-18 19:34:13] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_width_to_depth/cand_020_d1_w21/training_stats.csv
[2026-05-18 19:34:13] [CANDIDATE] task=representation phase=ae_width_to_depth index=20 search_phase=width architecture=[21]
[2026-05-18 19:34:19] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=1 architecture=[21] train_loss=0.494705 val_loss=0.493697 best=0.493093 es=0/5
[2026-05-18 19:34:22] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=2 architecture=[21] train_loss=0.493660 val_loss=0.493360 best=0.493093 es=0/5
[2026-05-18 19:34:25] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=3 architecture=[21] train_loss=0.493237 val_loss=0.494027 best=0.493093 es=1/5
[2026-05-18 19:34:27] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=4 architecture=[21] train_loss=0.493472 val_loss=0.492796 best=0.492796 es=0/5
[2026-05-18 19:34:32] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=5 architecture=[21] train_loss=0.492997 val_loss=0.493126 best=0.492796 es=1/5
[2026-05-18 19:34:34] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=6 architecture=[21] train_loss=0.492818 val_loss=0.492803 best=0.492796 es=2/5
[2026-05-18 19:34:36] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=7 architecture=[21] train_loss=0.492544 val_loss=0.492803 best=0.492796 es=3/5
[2026-05-18 19:34:39] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=8 architecture=[21] train_loss=0.492633 val_loss=0.492498 best=0.492498 es=0/5
[2026-05-18 19:34:41] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=9 architecture=[21] train_loss=0.492324 val_loss=0.492075 best=0.492075 es=0/5
[2026-05-18 19:34:45] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=10 architecture=[21] train_loss=0.492523 val_loss=0.492291 best=0.492075 es=1/5
[2026-05-18 19:34:47] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=11 architecture=[21] train_loss=0.491959 val_loss=0.493071 best=0.492075 es=2/5
[2026-05-18 19:34:50] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=12 architecture=[21] train_loss=0.492064 val_loss=0.491936 best=0.491936 es=0/5
[2026-05-18 19:34:52] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=13 architecture=[21] train_loss=0.492078 val_loss=0.491883 best=0.491936 es=1/5
[2026-05-18 19:34:54] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=14 architecture=[21] train_loss=0.492464 val_loss=0.492125 best=0.491936 es=2/5
[2026-05-18 19:34:58] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=15 architecture=[21] train_loss=0.492178 val_loss=0.492250 best=0.491936 es=3/5
[2026-05-18 19:35:01] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=16 architecture=[21] train_loss=0.491870 val_loss=0.491955 best=0.491936 es=4/5
[2026-05-18 19:35:03] [representation][ae_width_to_depth][cand_020_d1_w21] epoch=17 architecture=[21] train_loss=0.491742 val_loss=0.491952 best=0.491936 es=5/5
