[2026-05-20 08:41:39] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 08:41:39] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_015_d1_w16/training_log.txt
[2026-05-20 08:41:39] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_015_d1_w16/training_stats.csv
[2026-05-20 08:41:39] [CANDIDATE] task=autoencoding phase=ae_alt_width index=15 search_phase=width architecture=[16]
[2026-05-20 08:41:41] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=1 architecture=[16] train_loss=0.574368 val_loss=0.576048 best=0.574728 es=0/5
[2026-05-20 08:41:43] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=2 architecture=[16] train_loss=0.568542 val_loss=0.572905 best=0.572905 es=0/5
[2026-05-20 08:41:45] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=3 architecture=[16] train_loss=0.565118 val_loss=0.570067 best=0.570067 es=0/5
[2026-05-20 08:41:47] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=4 architecture=[16] train_loss=0.562411 val_loss=0.567605 best=0.567605 es=0/5
[2026-05-20 08:41:49] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=5 architecture=[16] train_loss=0.559997 val_loss=0.565402 best=0.565402 es=0/5
[2026-05-20 08:41:51] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=6 architecture=[16] train_loss=0.557826 val_loss=0.563433 best=0.563433 es=0/5
[2026-05-20 08:41:53] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=7 architecture=[16] train_loss=0.555905 val_loss=0.561812 best=0.561812 es=0/5
[2026-05-20 08:41:56] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=8 architecture=[16] train_loss=0.554272 val_loss=0.560418 best=0.560418 es=0/5
[2026-05-20 08:41:58] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=9 architecture=[16] train_loss=0.552959 val_loss=0.559251 best=0.559251 es=0/5
[2026-05-20 08:42:00] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=10 architecture=[16] train_loss=0.551960 val_loss=0.558393 best=0.558393 es=0/5
[2026-05-20 08:42:02] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=11 architecture=[16] train_loss=0.551171 val_loss=0.557714 best=0.557714 es=0/5
[2026-05-20 08:42:04] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=12 architecture=[16] train_loss=0.550577 val_loss=0.557235 best=0.557235 es=0/5
[2026-05-20 08:42:06] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=13 architecture=[16] train_loss=0.550142 val_loss=0.556941 best=0.556941 es=0/5
[2026-05-20 08:42:08] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=14 architecture=[16] train_loss=0.549823 val_loss=0.556658 best=0.556658 es=0/5
[2026-05-20 08:42:10] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=15 architecture=[16] train_loss=0.549638 val_loss=0.556475 best=0.556475 es=0/5
[2026-05-20 08:42:12] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=16 architecture=[16] train_loss=0.549437 val_loss=0.556316 best=0.556316 es=0/5
[2026-05-20 08:42:14] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=17 architecture=[16] train_loss=0.549281 val_loss=0.556157 best=0.556157 es=0/5
[2026-05-20 08:42:16] [autoencoding][ae_alt_width][cand_015_d1_w16] epoch=18 architecture=[16] train_loss=0.549163 val_loss=0.556088 best=0.556157 es=1/5
