task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail,consecutive_fail,width_stage_improved,width_stage_margin_fail,width_stage_anchor_val,width_stage_margin_pct
autoencoding,ae_depth_to_width,0,cand_000_d1_w1,[1],0.9512427830853681,188,193,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/checkpoint_last.pt,True,depth,0,0,0,False,0,,
autoencoding,ae_depth_to_width,1,cand_001_d2_w1,"[1, 1]",0.954949959388557,33,38,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_001_d2_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_001_d2_w1/checkpoint_last.pt,False,depth,0,1,1,False,0,,
autoencoding,ae_depth_to_width,2,cand_002_d3_w1,"[1, 1, 1]",0.9548031579762658,9,14,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_002_d3_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_002_d3_w1/checkpoint_last.pt,False,depth,0,2,2,False,0,,
autoencoding,ae_depth_to_width,3,cand_003_d4_w1,"[1, 1, 1, 1]",0.9547616440485238,10,15,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_003_d4_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_003_d4_w1/checkpoint_last.pt,False,depth,0,3,3,False,0,,
autoencoding,ae_depth_to_width,4,cand_004_d5_w1,"[1, 1, 1, 1, 1]",0.9547647491488054,5,10,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_004_d5_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_004_d5_w1/checkpoint_last.pt,False,depth,0,4,4,False,0,,
autoencoding,ae_depth_to_width,5,cand_005_d6_w1,"[1, 1, 1, 1, 1, 1]",0.9548138811535721,4,9,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_005_d6_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_005_d6_w1/checkpoint_last.pt,False,depth,0,5,5,False,0,,
autoencoding,ae_depth_to_width,6,cand_006_d6_w2,"[2, 1, 1, 1, 1, 1]",0.9549190815316898,12,17,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_006_d6_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_006_d6_w2/checkpoint_last.pt,False,width,0,5,5,False,0,,
autoencoding,ae_depth_to_width,7,cand_007_d6_w2,"[2, 2, 1, 1, 1, 1]",0.9549334699047922,4,9,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_007_d6_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_007_d6_w2/checkpoint_last.pt,False,width,0,5,5,False,0,,
autoencoding,ae_depth_to_width,8,cand_008_d6_w2,"[2, 2, 2, 1, 1, 1]",0.9514671158264106,47,52,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_008_d6_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_008_d6_w2/checkpoint_last.pt,False,width,0,5,5,False,0,,
autoencoding,ae_depth_to_width,9,cand_009_d6_w2,"[2, 2, 2, 2, 1, 1]",0.9495836357130996,17,22,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_009_d6_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_009_d6_w2/checkpoint_last.pt,True,width,0,5,5,True,0,,
