[2026-05-20 12:34:40] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 12:34:40] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_046_d1_w47/training_log.txt
[2026-05-20 12:34:40] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_046_d1_w47/training_stats.csv
[2026-05-20 12:34:40] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=46 search_phase=width architecture=[47]
[2026-05-20 12:34:43] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=1 architecture=[47] train_loss=0.037930 val_loss=0.024671 best=0.023894 es=0/5
[2026-05-20 12:34:46] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=2 architecture=[47] train_loss=0.036430 val_loss=0.024132 best=0.023894 es=0/5
[2026-05-20 12:34:48] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=3 architecture=[47] train_loss=0.036176 val_loss=0.024087 best=0.023894 es=1/5
[2026-05-20 12:34:51] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=4 architecture=[47] train_loss=0.035720 val_loss=0.024044 best=0.023894 es=2/5
[2026-05-20 12:34:54] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=5 architecture=[47] train_loss=0.035419 val_loss=0.023956 best=0.023894 es=0/5
[2026-05-20 12:34:57] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=6 architecture=[47] train_loss=0.035159 val_loss=0.023905 best=0.023894 es=1/5
[2026-05-20 12:35:00] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=7 architecture=[47] train_loss=0.034529 val_loss=0.023629 best=0.023629 es=0/5
[2026-05-20 12:35:03] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=8 architecture=[47] train_loss=0.033936 val_loss=0.023470 best=0.023470 es=0/5
[2026-05-20 12:35:06] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=9 architecture=[47] train_loss=0.034219 val_loss=0.023259 best=0.023259 es=0/5
[2026-05-20 12:35:09] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=10 architecture=[47] train_loss=0.032479 val_loss=0.022678 best=0.022678 es=0/5
[2026-05-20 12:35:11] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=11 architecture=[47] train_loss=0.030878 val_loss=0.022177 best=0.022177 es=0/5
[2026-05-20 12:35:14] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=12 architecture=[47] train_loss=0.029973 val_loss=0.021899 best=0.021899 es=0/5
[2026-05-20 12:35:17] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=13 architecture=[47] train_loss=0.028764 val_loss=0.021618 best=0.021618 es=0/5
[2026-05-20 12:35:20] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=14 architecture=[47] train_loss=0.027747 val_loss=0.021289 best=0.021289 es=0/5
[2026-05-20 12:35:23] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=15 architecture=[47] train_loss=0.027030 val_loss=0.021160 best=0.021160 es=0/5
[2026-05-20 12:35:26] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=16 architecture=[47] train_loss=0.026559 val_loss=0.021119 best=0.021160 es=1/5
[2026-05-20 12:35:29] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=17 architecture=[47] train_loss=0.025877 val_loss=0.021022 best=0.021022 es=0/5
[2026-05-20 12:35:32] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=18 architecture=[47] train_loss=0.025654 val_loss=0.021154 best=0.021022 es=1/5
[2026-05-20 12:35:35] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=19 architecture=[47] train_loss=0.025242 val_loss=0.020991 best=0.021022 es=2/5
[2026-05-20 12:35:37] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=20 architecture=[47] train_loss=0.024849 val_loss=0.021086 best=0.021022 es=3/5
[2026-05-20 12:35:40] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=21 architecture=[47] train_loss=0.024591 val_loss=0.021039 best=0.021022 es=4/5
[2026-05-20 12:35:43] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=22 architecture=[47] train_loss=0.024204 val_loss=0.020898 best=0.020898 es=0/5
[2026-05-20 12:35:46] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=23 architecture=[47] train_loss=0.023791 val_loss=0.020746 best=0.020746 es=0/5
[2026-05-20 12:35:49] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=24 architecture=[47] train_loss=0.023725 val_loss=0.020759 best=0.020746 es=1/5
[2026-05-20 12:35:52] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=25 architecture=[47] train_loss=0.023382 val_loss=0.020577 best=0.020577 es=0/5
[2026-05-20 12:35:55] [autoencoding][ae_width_to_depth][cand_046_d1_w47] epoch=26 architecture=[47] train_loss=0.023180 val_loss=0.020434 best=0.020434 es=0/5
