[2026-05-18 00:28:33] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 00:28:33] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_007_d1_w8/training_log.txt
[2026-05-18 00:28:33] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_007_d1_w8/training_stats.csv
[2026-05-18 00:28:33] [CANDIDATE] task=representation phase=ae_alt_width index=7 search_phase=width architecture=[8]
[2026-05-18 00:28:36] [representation][ae_alt_width][cand_007_d1_w8] epoch=1 architecture=[8] train_loss=0.590938 val_loss=0.590459 best=0.590065 es=0/5
[2026-05-18 00:28:38] [representation][ae_alt_width][cand_007_d1_w8] epoch=2 architecture=[8] train_loss=0.590143 val_loss=0.590196 best=0.590065 es=0/5
[2026-05-18 00:28:40] [representation][ae_alt_width][cand_007_d1_w8] epoch=3 architecture=[8] train_loss=0.589728 val_loss=0.589858 best=0.589858 es=0/5
[2026-05-18 00:28:43] [representation][ae_alt_width][cand_007_d1_w8] epoch=4 architecture=[8] train_loss=0.589385 val_loss=0.589428 best=0.589428 es=0/5
[2026-05-18 00:28:46] [representation][ae_alt_width][cand_007_d1_w8] epoch=5 architecture=[8] train_loss=0.589182 val_loss=0.589344 best=0.589428 es=1/5
[2026-05-18 00:28:48] [representation][ae_alt_width][cand_007_d1_w8] epoch=6 architecture=[8] train_loss=0.589021 val_loss=0.588972 best=0.588972 es=0/5
[2026-05-18 00:28:51] [representation][ae_alt_width][cand_007_d1_w8] epoch=7 architecture=[8] train_loss=0.588661 val_loss=0.588569 best=0.588569 es=0/5
[2026-05-18 00:28:53] [representation][ae_alt_width][cand_007_d1_w8] epoch=8 architecture=[8] train_loss=0.588347 val_loss=0.588347 best=0.588347 es=0/5
[2026-05-18 00:28:56] [representation][ae_alt_width][cand_007_d1_w8] epoch=9 architecture=[8] train_loss=0.588052 val_loss=0.588110 best=0.588110 es=0/5
[2026-05-18 00:28:59] [representation][ae_alt_width][cand_007_d1_w8] epoch=10 architecture=[8] train_loss=0.587669 val_loss=0.587598 best=0.587598 es=0/5
[2026-05-18 00:29:01] [representation][ae_alt_width][cand_007_d1_w8] epoch=11 architecture=[8] train_loss=0.587416 val_loss=0.587337 best=0.587337 es=0/5
[2026-05-18 00:29:03] [representation][ae_alt_width][cand_007_d1_w8] epoch=12 architecture=[8] train_loss=0.586997 val_loss=0.586954 best=0.586954 es=0/5
[2026-05-18 00:29:05] [representation][ae_alt_width][cand_007_d1_w8] epoch=13 architecture=[8] train_loss=0.586535 val_loss=0.586174 best=0.586174 es=0/5
[2026-05-18 00:29:08] [representation][ae_alt_width][cand_007_d1_w8] epoch=14 architecture=[8] train_loss=0.585892 val_loss=0.585415 best=0.585415 es=0/5
[2026-05-18 00:29:11] [representation][ae_alt_width][cand_007_d1_w8] epoch=15 architecture=[8] train_loss=0.585222 val_loss=0.584807 best=0.584807 es=0/5
[2026-05-18 00:29:13] [representation][ae_alt_width][cand_007_d1_w8] epoch=16 architecture=[8] train_loss=0.584774 val_loss=0.584255 best=0.584255 es=0/5
[2026-05-18 00:29:15] [representation][ae_alt_width][cand_007_d1_w8] epoch=17 architecture=[8] train_loss=0.584454 val_loss=0.583894 best=0.583894 es=0/5
[2026-05-18 00:29:17] [representation][ae_alt_width][cand_007_d1_w8] epoch=18 architecture=[8] train_loss=0.583881 val_loss=0.583613 best=0.583613 es=0/5
[2026-05-18 00:29:19] [representation][ae_alt_width][cand_007_d1_w8] epoch=19 architecture=[8] train_loss=0.583661 val_loss=0.583380 best=0.583380 es=0/5
[2026-05-18 00:29:22] [representation][ae_alt_width][cand_007_d1_w8] epoch=20 architecture=[8] train_loss=0.583435 val_loss=0.583181 best=0.583181 es=0/5
[2026-05-18 00:29:24] [representation][ae_alt_width][cand_007_d1_w8] epoch=21 architecture=[8] train_loss=0.583205 val_loss=0.582828 best=0.582828 es=0/5
[2026-05-18 00:29:27] [representation][ae_alt_width][cand_007_d1_w8] epoch=22 architecture=[8] train_loss=0.582953 val_loss=0.582885 best=0.582828 es=1/5
[2026-05-18 00:29:29] [representation][ae_alt_width][cand_007_d1_w8] epoch=23 architecture=[8] train_loss=0.582786 val_loss=0.582602 best=0.582602 es=0/5
[2026-05-18 00:29:31] [representation][ae_alt_width][cand_007_d1_w8] epoch=24 architecture=[8] train_loss=0.582619 val_loss=0.582299 best=0.582299 es=0/5
[2026-05-18 00:29:34] [representation][ae_alt_width][cand_007_d1_w8] epoch=25 architecture=[8] train_loss=0.582497 val_loss=0.582162 best=0.582162 es=0/5
[2026-05-18 00:29:36] [representation][ae_alt_width][cand_007_d1_w8] epoch=26 architecture=[8] train_loss=0.582310 val_loss=0.581836 best=0.581836 es=0/5
[2026-05-18 00:29:39] [representation][ae_alt_width][cand_007_d1_w8] epoch=27 architecture=[8] train_loss=0.582162 val_loss=0.581769 best=0.581836 es=1/5
[2026-05-18 00:29:41] [representation][ae_alt_width][cand_007_d1_w8] epoch=28 architecture=[8] train_loss=0.582011 val_loss=0.581684 best=0.581684 es=0/5
[2026-05-18 00:29:44] [representation][ae_alt_width][cand_007_d1_w8] epoch=29 architecture=[8] train_loss=0.581921 val_loss=0.581538 best=0.581538 es=0/5
[2026-05-18 00:29:46] [representation][ae_alt_width][cand_007_d1_w8] epoch=30 architecture=[8] train_loss=0.581861 val_loss=0.581796 best=0.581538 es=1/5
[2026-05-18 00:29:49] [representation][ae_alt_width][cand_007_d1_w8] epoch=31 architecture=[8] train_loss=0.581774 val_loss=0.581273 best=0.581273 es=0/5
[2026-05-18 00:29:51] [representation][ae_alt_width][cand_007_d1_w8] epoch=32 architecture=[8] train_loss=0.581734 val_loss=0.581111 best=0.581111 es=0/5
[2026-05-18 00:29:54] [representation][ae_alt_width][cand_007_d1_w8] epoch=33 architecture=[8] train_loss=0.581553 val_loss=0.580938 best=0.580938 es=0/5
[2026-05-18 00:29:56] [representation][ae_alt_width][cand_007_d1_w8] epoch=34 architecture=[8] train_loss=0.581475 val_loss=0.580964 best=0.580938 es=1/5
[2026-05-18 00:29:59] [representation][ae_alt_width][cand_007_d1_w8] epoch=35 architecture=[8] train_loss=0.581426 val_loss=0.580822 best=0.580822 es=0/5
[2026-05-18 00:30:02] [representation][ae_alt_width][cand_007_d1_w8] epoch=36 architecture=[8] train_loss=0.581412 val_loss=0.581236 best=0.580822 es=1/5
[2026-05-18 00:30:04] [representation][ae_alt_width][cand_007_d1_w8] epoch=37 architecture=[8] train_loss=0.581325 val_loss=0.580953 best=0.580822 es=2/5
