[2026-05-18 17:33:57] Initialized ContinuousLogger for representation_ae_width_only (Mode: ae_width_only)
[2026-05-18 17:33:57] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_width_only/cand_001_d1_w2/training_log.txt
[2026-05-18 17:33:57] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_width_only/cand_001_d1_w2/training_stats.csv
[2026-05-18 17:33:57] [CANDIDATE] task=representation phase=ae_width_only index=1 search_phase=width architecture=[2]
[2026-05-18 17:34:00] [representation][ae_width_only][cand_001_d1_w2] epoch=1 architecture=[2] train_loss=0.818450 val_loss=0.808759 best=0.808759 es=0/5
[2026-05-18 17:34:02] [representation][ae_width_only][cand_001_d1_w2] epoch=2 architecture=[2] train_loss=0.801858 val_loss=0.799155 best=0.799155 es=0/5
[2026-05-18 17:34:05] [representation][ae_width_only][cand_001_d1_w2] epoch=3 architecture=[2] train_loss=0.792209 val_loss=0.791766 best=0.791766 es=0/5
[2026-05-18 17:34:07] [representation][ae_width_only][cand_001_d1_w2] epoch=4 architecture=[2] train_loss=0.786172 val_loss=0.786688 best=0.786688 es=0/5
[2026-05-18 17:34:10] [representation][ae_width_only][cand_001_d1_w2] epoch=5 architecture=[2] train_loss=0.781740 val_loss=0.782853 best=0.782853 es=0/5
[2026-05-18 17:34:12] [representation][ae_width_only][cand_001_d1_w2] epoch=6 architecture=[2] train_loss=0.778261 val_loss=0.779712 best=0.779712 es=0/5
[2026-05-18 17:34:14] [representation][ae_width_only][cand_001_d1_w2] epoch=7 architecture=[2] train_loss=0.775130 val_loss=0.776209 best=0.776209 es=0/5
[2026-05-18 17:34:17] [representation][ae_width_only][cand_001_d1_w2] epoch=8 architecture=[2] train_loss=0.771543 val_loss=0.772807 best=0.772807 es=0/5
[2026-05-18 17:34:19] [representation][ae_width_only][cand_001_d1_w2] epoch=9 architecture=[2] train_loss=0.768565 val_loss=0.770289 best=0.770289 es=0/5
[2026-05-18 17:34:22] [representation][ae_width_only][cand_001_d1_w2] epoch=10 architecture=[2] train_loss=0.766229 val_loss=0.768061 best=0.768061 es=0/5
[2026-05-18 17:34:24] [representation][ae_width_only][cand_001_d1_w2] epoch=11 architecture=[2] train_loss=0.764119 val_loss=0.765840 best=0.765840 es=0/5
[2026-05-18 17:34:27] [representation][ae_width_only][cand_001_d1_w2] epoch=12 architecture=[2] train_loss=0.762140 val_loss=0.763982 best=0.763982 es=0/5
[2026-05-18 17:34:29] [representation][ae_width_only][cand_001_d1_w2] epoch=13 architecture=[2] train_loss=0.760384 val_loss=0.762373 best=0.762373 es=0/5
[2026-05-18 17:34:32] [representation][ae_width_only][cand_001_d1_w2] epoch=14 architecture=[2] train_loss=0.758817 val_loss=0.760786 best=0.760786 es=0/5
[2026-05-18 17:34:35] [representation][ae_width_only][cand_001_d1_w2] epoch=15 architecture=[2] train_loss=0.757373 val_loss=0.759422 best=0.759422 es=0/5
[2026-05-18 17:34:37] [representation][ae_width_only][cand_001_d1_w2] epoch=16 architecture=[2] train_loss=0.756016 val_loss=0.758069 best=0.758069 es=0/5
[2026-05-18 17:34:39] [representation][ae_width_only][cand_001_d1_w2] epoch=17 architecture=[2] train_loss=0.754694 val_loss=0.756747 best=0.756747 es=0/5
[2026-05-18 17:34:42] [representation][ae_width_only][cand_001_d1_w2] epoch=18 architecture=[2] train_loss=0.753448 val_loss=0.755487 best=0.755487 es=0/5
[2026-05-18 17:34:45] [representation][ae_width_only][cand_001_d1_w2] epoch=19 architecture=[2] train_loss=0.752304 val_loss=0.754328 best=0.754328 es=0/5
[2026-05-18 17:34:47] [representation][ae_width_only][cand_001_d1_w2] epoch=20 architecture=[2] train_loss=0.751083 val_loss=0.753017 best=0.753017 es=0/5
[2026-05-18 17:34:50] [representation][ae_width_only][cand_001_d1_w2] epoch=21 architecture=[2] train_loss=0.749805 val_loss=0.751665 best=0.751665 es=0/5
[2026-05-18 17:34:52] [representation][ae_width_only][cand_001_d1_w2] epoch=22 architecture=[2] train_loss=0.748569 val_loss=0.750506 best=0.750506 es=0/5
[2026-05-18 17:34:55] [representation][ae_width_only][cand_001_d1_w2] epoch=23 architecture=[2] train_loss=0.747408 val_loss=0.749363 best=0.749363 es=0/5
[2026-05-18 17:34:57] [representation][ae_width_only][cand_001_d1_w2] epoch=24 architecture=[2] train_loss=0.746399 val_loss=0.748224 best=0.748224 es=0/5
[2026-05-18 17:35:00] [representation][ae_width_only][cand_001_d1_w2] epoch=25 architecture=[2] train_loss=0.745400 val_loss=0.747226 best=0.747226 es=0/5
[2026-05-18 17:35:02] [representation][ae_width_only][cand_001_d1_w2] epoch=26 architecture=[2] train_loss=0.744411 val_loss=0.746309 best=0.746309 es=0/5
[2026-05-18 17:35:05] [representation][ae_width_only][cand_001_d1_w2] epoch=27 architecture=[2] train_loss=0.743508 val_loss=0.745262 best=0.745262 es=0/5
[2026-05-18 17:35:07] [representation][ae_width_only][cand_001_d1_w2] epoch=28 architecture=[2] train_loss=0.742554 val_loss=0.744369 best=0.744369 es=0/5
[2026-05-18 17:35:10] [representation][ae_width_only][cand_001_d1_w2] epoch=29 architecture=[2] train_loss=0.741747 val_loss=0.743526 best=0.743526 es=0/5
[2026-05-18 17:35:12] [representation][ae_width_only][cand_001_d1_w2] epoch=30 architecture=[2] train_loss=0.740835 val_loss=0.742322 best=0.742322 es=0/5
[2026-05-18 17:35:15] [representation][ae_width_only][cand_001_d1_w2] epoch=31 architecture=[2] train_loss=0.739807 val_loss=0.741540 best=0.741540 es=0/5
[2026-05-18 17:35:17] [representation][ae_width_only][cand_001_d1_w2] epoch=32 architecture=[2] train_loss=0.738967 val_loss=0.740740 best=0.740740 es=0/5
[2026-05-18 17:35:20] [representation][ae_width_only][cand_001_d1_w2] epoch=33 architecture=[2] train_loss=0.738257 val_loss=0.740173 best=0.740173 es=0/5
[2026-05-18 17:35:22] [representation][ae_width_only][cand_001_d1_w2] epoch=34 architecture=[2] train_loss=0.737619 val_loss=0.739433 best=0.739433 es=0/5
[2026-05-18 17:35:25] [representation][ae_width_only][cand_001_d1_w2] epoch=35 architecture=[2] train_loss=0.737010 val_loss=0.738752 best=0.738752 es=0/5
[2026-05-18 17:35:27] [representation][ae_width_only][cand_001_d1_w2] epoch=36 architecture=[2] train_loss=0.736309 val_loss=0.738195 best=0.738195 es=0/5
[2026-05-18 17:35:30] [representation][ae_width_only][cand_001_d1_w2] epoch=37 architecture=[2] train_loss=0.735783 val_loss=0.737611 best=0.737611 es=0/5
[2026-05-18 17:35:32] [representation][ae_width_only][cand_001_d1_w2] epoch=38 architecture=[2] train_loss=0.735222 val_loss=0.737164 best=0.737164 es=0/5
[2026-05-18 17:35:34] [representation][ae_width_only][cand_001_d1_w2] epoch=39 architecture=[2] train_loss=0.734662 val_loss=0.736613 best=0.736613 es=0/5
[2026-05-18 17:35:37] [representation][ae_width_only][cand_001_d1_w2] epoch=40 architecture=[2] train_loss=0.734169 val_loss=0.736052 best=0.736052 es=0/5
[2026-05-18 17:35:39] [representation][ae_width_only][cand_001_d1_w2] epoch=41 architecture=[2] train_loss=0.733588 val_loss=0.735561 best=0.735561 es=0/5
[2026-05-18 17:35:42] [representation][ae_width_only][cand_001_d1_w2] epoch=42 architecture=[2] train_loss=0.733095 val_loss=0.735080 best=0.735080 es=0/5
[2026-05-18 17:35:44] [representation][ae_width_only][cand_001_d1_w2] epoch=43 architecture=[2] train_loss=0.732513 val_loss=0.734297 best=0.734297 es=0/5
[2026-05-18 17:35:47] [representation][ae_width_only][cand_001_d1_w2] epoch=44 architecture=[2] train_loss=0.731842 val_loss=0.733689 best=0.733689 es=0/5
[2026-05-18 17:35:49] [representation][ae_width_only][cand_001_d1_w2] epoch=45 architecture=[2] train_loss=0.731261 val_loss=0.733249 best=0.733249 es=0/5
[2026-05-18 17:35:52] [representation][ae_width_only][cand_001_d1_w2] epoch=46 architecture=[2] train_loss=0.730818 val_loss=0.732623 best=0.732623 es=0/5
[2026-05-18 17:35:54] [representation][ae_width_only][cand_001_d1_w2] epoch=47 architecture=[2] train_loss=0.730210 val_loss=0.732089 best=0.732089 es=0/5
[2026-05-18 17:35:56] [representation][ae_width_only][cand_001_d1_w2] epoch=48 architecture=[2] train_loss=0.729639 val_loss=0.731570 best=0.731570 es=0/5
[2026-05-18 17:35:59] [representation][ae_width_only][cand_001_d1_w2] epoch=49 architecture=[2] train_loss=0.729152 val_loss=0.731016 best=0.731016 es=0/5
[2026-05-18 17:36:02] [representation][ae_width_only][cand_001_d1_w2] epoch=50 architecture=[2] train_loss=0.728665 val_loss=0.730656 best=0.730656 es=0/5
[2026-05-18 17:36:04] [representation][ae_width_only][cand_001_d1_w2] epoch=51 architecture=[2] train_loss=0.728062 val_loss=0.730035 best=0.730035 es=0/5
