[2026-05-24 07:42:53] Initialized ContinuousLogger for denoising_ae_alt_width (Mode: ae_alt_width)
[2026-05-24 07:42:53] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_alt_width/cand_014_d1_w15/training_log.txt
[2026-05-24 07:42:53] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_alt_width/cand_014_d1_w15/training_stats.csv
[2026-05-24 07:42:53] [CANDIDATE] task=denoising phase=ae_alt_width index=14 search_phase=width architecture=[15]
[2026-05-24 07:42:56] [denoising][ae_alt_width][cand_014_d1_w15] epoch=1 architecture=[15] train_loss=0.611935 val_loss=0.612028 candidate_best=0.612028 global_best=0.612028 es=0/5
[2026-05-24 07:42:59] [denoising][ae_alt_width][cand_014_d1_w15] epoch=2 architecture=[15] train_loss=0.606110 val_loss=0.611691 candidate_best=0.611691 global_best=0.611691 es=0/5
[2026-05-24 07:43:01] [denoising][ae_alt_width][cand_014_d1_w15] epoch=3 architecture=[15] train_loss=0.605838 val_loss=0.611632 candidate_best=0.611691 global_best=0.611691 es=1/5
[2026-05-24 07:43:04] [denoising][ae_alt_width][cand_014_d1_w15] epoch=4 architecture=[15] train_loss=0.605623 val_loss=0.611409 candidate_best=0.611409 global_best=0.611409 es=0/5
[2026-05-24 07:43:08] [denoising][ae_alt_width][cand_014_d1_w15] epoch=5 architecture=[15] train_loss=0.605405 val_loss=0.611235 candidate_best=0.611235 global_best=0.611235 es=0/5
[2026-05-24 07:43:11] [denoising][ae_alt_width][cand_014_d1_w15] epoch=6 architecture=[15] train_loss=0.605258 val_loss=0.611192 candidate_best=0.611235 global_best=0.611235 es=1/5
[2026-05-24 07:43:14] [denoising][ae_alt_width][cand_014_d1_w15] epoch=7 architecture=[15] train_loss=0.605196 val_loss=0.611171 candidate_best=0.611235 global_best=0.611235 es=2/5
[2026-05-24 07:43:17] [denoising][ae_alt_width][cand_014_d1_w15] epoch=8 architecture=[15] train_loss=0.605136 val_loss=0.611252 candidate_best=0.611235 global_best=0.611235 es=3/5
[2026-05-24 07:43:20] [denoising][ae_alt_width][cand_014_d1_w15] epoch=9 architecture=[15] train_loss=0.605123 val_loss=0.611102 candidate_best=0.611102 global_best=0.611102 es=0/5
[2026-05-24 07:43:23] [denoising][ae_alt_width][cand_014_d1_w15] epoch=10 architecture=[15] train_loss=0.605047 val_loss=0.611073 candidate_best=0.611102 global_best=0.611102 es=1/5
[2026-05-24 07:43:26] [denoising][ae_alt_width][cand_014_d1_w15] epoch=11 architecture=[15] train_loss=0.605040 val_loss=0.611135 candidate_best=0.611102 global_best=0.611102 es=2/5
[2026-05-24 07:43:29] [denoising][ae_alt_width][cand_014_d1_w15] epoch=12 architecture=[15] train_loss=0.604992 val_loss=0.611150 candidate_best=0.611102 global_best=0.611102 es=3/5
[2026-05-24 07:43:32] [denoising][ae_alt_width][cand_014_d1_w15] epoch=13 architecture=[15] train_loss=0.605008 val_loss=0.611160 candidate_best=0.611102 global_best=0.611102 es=4/5
[2026-05-24 07:43:35] [denoising][ae_alt_width][cand_014_d1_w15] epoch=14 architecture=[15] train_loss=0.604961 val_loss=0.611102 candidate_best=0.611102 global_best=0.611102 es=5/5
