[2026-05-24 08:54:50] Initialized ContinuousLogger for denoising_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-24 08:54:50] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_width_to_depth/cand_050_d1_w51/training_log.txt
[2026-05-24 08:54:50] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_width_to_depth/cand_050_d1_w51/training_stats.csv
[2026-05-24 08:54:50] [CANDIDATE] task=denoising phase=ae_width_to_depth index=50 search_phase=width architecture=[51]
[2026-05-24 08:54:53] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=1 architecture=[51] train_loss=0.026134 val_loss=0.005074 candidate_best=0.005074 global_best=0.005074 es=0/5
[2026-05-24 08:54:55] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=2 architecture=[51] train_loss=0.025056 val_loss=0.004758 candidate_best=0.004758 global_best=0.004758 es=0/5
[2026-05-24 08:54:58] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=3 architecture=[51] train_loss=0.024865 val_loss=0.005394 candidate_best=0.004758 global_best=0.004758 es=1/5
[2026-05-24 08:55:00] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=4 architecture=[51] train_loss=0.024643 val_loss=0.004752 candidate_best=0.004758 global_best=0.004758 es=2/5
[2026-05-24 08:55:03] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=5 architecture=[51] train_loss=0.024276 val_loss=0.004493 candidate_best=0.004493 global_best=0.004493 es=0/5
[2026-05-24 08:55:06] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=6 architecture=[51] train_loss=0.023762 val_loss=0.004484 candidate_best=0.004493 global_best=0.004493 es=1/5
[2026-05-24 08:55:09] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=7 architecture=[51] train_loss=0.023378 val_loss=0.004438 candidate_best=0.004493 global_best=0.004493 es=2/5
[2026-05-24 08:55:12] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=8 architecture=[51] train_loss=0.022726 val_loss=0.004294 candidate_best=0.004294 global_best=0.004294 es=0/5
[2026-05-24 08:55:15] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=9 architecture=[51] train_loss=0.021951 val_loss=0.004465 candidate_best=0.004294 global_best=0.004294 es=1/5
[2026-05-24 08:55:18] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=10 architecture=[51] train_loss=0.021106 val_loss=0.005576 candidate_best=0.004294 global_best=0.004294 es=2/5
[2026-05-24 08:55:20] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=11 architecture=[51] train_loss=0.020363 val_loss=0.004848 candidate_best=0.004294 global_best=0.004294 es=3/5
[2026-05-24 08:55:24] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=12 architecture=[51] train_loss=0.019443 val_loss=0.004689 candidate_best=0.004294 global_best=0.004294 es=4/5
[2026-05-24 08:55:27] [denoising][ae_width_to_depth][cand_050_d1_w51] epoch=13 architecture=[51] train_loss=0.018454 val_loss=0.004568 candidate_best=0.004294 global_best=0.004294 es=5/5
