task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail,consecutive_fail,width_stage_improved,width_stage_margin_fail,width_stage_anchor_val,width_stage_margin_pct
generation,ae_alt_width,0,cand_000_d1_w1,[1],0.9819402004018285,253,258,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_000_d1_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_000_d1_w1/checkpoint_last.pt,True,width,0,0,0,False,0,0.9819402004018285,inf
generation,ae_alt_width,1,cand_001_d1_w2,[2],0.9633662130858893,174,179,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_001_d1_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_001_d1_w2/checkpoint_last.pt,True,width,0,0,0,False,0,0.9633662130858893,1.8915599247630712
generation,ae_alt_width,2,cand_002_d1_w3,[3],0.9447023841908433,151,156,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_002_d1_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_002_d1_w3/checkpoint_last.pt,True,width,0,0,0,False,0,0.9447023841908433,1.9373555602766452
generation,ae_alt_width,3,cand_003_d1_w4,[4],0.9261100337272712,103,108,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_003_d1_w4/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_003_d1_w4/checkpoint_last.pt,True,width,0,0,0,False,0,0.9261100337272712,1.9680643104861888
generation,ae_alt_width,4,cand_004_d1_w5,[5],0.9074415830188634,107,112,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_004_d1_w5/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_004_d1_w5/checkpoint_last.pt,True,width,0,0,0,False,0,0.9074415830188634,2.015791863659419
generation,ae_alt_width,5,cand_005_d1_w6,[6],0.8888350084347847,99,104,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_005_d1_w6/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_005_d1_w6/checkpoint_last.pt,True,width,0,0,0,False,0,0.8888350084347847,2.0504432386907574
generation,ae_alt_width,6,cand_006_d1_w7,[7],0.8702428839366364,86,91,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_006_d1_w7/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_006_d1_w7/checkpoint_last.pt,True,width,0,0,0,False,0,0.8702428839366364,2.091740797978754
generation,ae_alt_width,7,cand_007_d1_w8,[8],0.8517188928789637,86,91,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_007_d1_w8/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_007_d1_w8/checkpoint_last.pt,True,width,0,0,0,False,0,0.8517188928789637,2.1286001183804473
generation,ae_alt_width,8,cand_008_d1_w9,[9],0.8331772012196893,77,82,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_008_d1_w9/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_008_d1_w9/checkpoint_last.pt,True,width,0,0,0,False,0,0.8331772012196893,2.1769731556147796
generation,ae_alt_width,9,cand_009_d1_w10,[10],0.8146651736003548,80,85,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_009_d1_w10/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_009_d1_w10/checkpoint_last.pt,True,width,0,0,0,False,0,0.8146651736003548,2.22185959868257
generation,ae_alt_width,10,cand_010_d1_w11,[11],0.7963152205057086,83,88,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_010_d1_w11/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_010_d1_w11/checkpoint_last.pt,True,width,0,0,0,False,0,0.7963152205057086,2.2524533623488474
generation,ae_alt_width,11,cand_011_d1_w12,[12],0.7778430071753751,70,75,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_011_d1_w12/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_011_d1_w12/checkpoint_last.pt,True,width,0,0,0,False,0,0.7778430071753751,2.3197111966040866
generation,ae_alt_width,12,cand_012_d1_w13,[13],0.7594012826810911,71,76,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_012_d1_w13/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_012_d1_w13/checkpoint_last.pt,True,width,0,0,0,False,0,0.7594012826810911,2.3708800264532193
generation,ae_alt_width,13,cand_013_d1_w14,[14],0.7408825348522107,64,69,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_013_d1_w14/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_013_d1_w14/checkpoint_last.pt,True,width,0,0,0,False,0,0.7408825348522107,2.4385984394837164
generation,ae_alt_width,14,cand_014_d1_w15,[15],0.7225788323110366,72,77,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_014_d1_w15/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_014_d1_w15/checkpoint_last.pt,True,width,0,0,0,False,0,0.7225788323110366,2.4705269297278356
generation,ae_alt_width,15,cand_015_d1_w16,[16],0.7041272767240403,82,87,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_015_d1_w16/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_015_d1_w16/checkpoint_last.pt,True,width,0,0,0,False,0,0.7041272767240403,2.553569902951953
generation,ae_alt_width,16,cand_016_d1_w17,[17],0.6854625686961331,70,75,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_016_d1_w17/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/generation/ae_alt_width/cand_016_d1_w17/checkpoint_last.pt,True,width,0,0,0,False,0,0.6854625686961331,2.6507577031733467
