task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail,consecutive_fail,width_stage_improved,width_stage_margin_fail,width_stage_anchor_val,width_stage_margin_pct
representation,ae_alt_width,0,cand_000_d1_w1,[1],0.9426583141846098,353,358,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_000_d1_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_000_d1_w1/checkpoint_last.pt,True,width,0,0,0,False,0,0.9426583141846098,inf
representation,ae_alt_width,1,cand_001_d1_w2,[2],0.6934890436382602,513,518,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_001_d1_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_001_d1_w2/checkpoint_last.pt,True,width,0,0,0,False,0,0.6934890436382602,26.4326179270883
representation,ae_alt_width,2,cand_002_d1_w3,[3],0.6592598359508196,189,194,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_002_d1_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_002_d1_w3/checkpoint_last.pt,True,width,0,0,0,False,0,0.6592598359508196,4.935796463036175
representation,ae_alt_width,3,cand_003_d1_w4,[4],0.63453887416476,96,101,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_003_d1_w4/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_003_d1_w4/checkpoint_last.pt,True,width,0,0,0,False,0,0.63453887416476,3.749805530076887
representation,ae_alt_width,4,cand_004_d1_w5,[5],0.6188148118658006,67,72,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_004_d1_w5/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_004_d1_w5/checkpoint_last.pt,True,width,0,0,0,False,0,0.6188148118658006,2.47802978496107
representation,ae_alt_width,5,cand_005_d1_w6,[6],0.6082372069502449,64,69,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_005_d1_w6/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_005_d1_w6/checkpoint_last.pt,True,width,0,0,0,False,0,0.6082372069502449,1.7093328589958865
representation,ae_alt_width,6,cand_006_d1_w7,[7],0.5900649642355891,112,117,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_006_d1_w7/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_006_d1_w7/checkpoint_last.pt,True,width,0,0,0,False,0,0.5900649642355891,2.9876900832444986
representation,ae_alt_width,7,cand_007_d1_w8,[8],0.5794378324079504,54,59,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_007_d1_w8/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_007_d1_w8/checkpoint_last.pt,True,width,0,0,0,False,0,0.5794378324079504,1.8010104771100512
representation,ae_alt_width,8,cand_008_d1_w9,[9],0.5719280920739251,39,44,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_008_d1_w9/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_008_d1_w9/checkpoint_last.pt,True,width,0,0,0,False,0,0.5719280920739251,1.2960390078116435
representation,ae_alt_width,9,cand_009_d1_w10,[10],0.5627819951008471,42,47,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_009_d1_w10/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_009_d1_w10/checkpoint_last.pt,True,width,0,0,0,False,0,0.5627819951008471,1.5991690388755746
representation,ae_alt_width,10,cand_010_d1_w11,[11],0.5551787184476052,64,69,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_010_d1_w11/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_010_d1_w11/checkpoint_last.pt,True,width,0,0,0,False,0,0.5551787184476052,1.3510163294899715
representation,ae_alt_width,11,cand_011_d1_w12,[12],0.5452284795518065,88,93,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_011_d1_w12/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_011_d1_w12/checkpoint_last.pt,True,width,0,0,0,False,0,0.5452284795518065,1.7922587024988355
representation,ae_alt_width,12,cand_012_d1_w13,[13],0.5328276966521359,98,103,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_012_d1_w13/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_012_d1_w13/checkpoint_last.pt,True,width,0,0,0,False,0,0.5328276966521359,2.2744195075547804
representation,ae_alt_width,13,cand_013_d1_w14,[14],0.5289325869870665,31,36,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_013_d1_w14/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_013_d1_w14/checkpoint_last.pt,True,width,0,0,0,False,1,0.5289325869870665,0.7310261252452177
representation,ae_alt_width,14,cand_014_d1_w15,[15],0.5245638760442637,45,50,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_014_d1_w15/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_014_d1_w15/checkpoint_last.pt,True,width,0,0,0,False,2,0.5245638760442637,0.8259485330045665
representation,ae_alt_width,15,cand_015_d1_w16,[16],0.5174314419834756,56,61,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_015_d1_w16/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_015_d1_w16/checkpoint_last.pt,True,width,0,0,0,False,0,0.5174314419834756,1.3596883785772296
representation,ae_alt_width,16,cand_016_d1_w17,[17],0.5149263996281531,19,24,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_016_d1_w17/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_016_d1_w17/checkpoint_last.pt,True,width,0,0,0,False,1,0.5149263996281531,0.4841302928403123
representation,ae_alt_width,17,cand_017_d1_w18,[18],0.5100392040042028,46,51,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_017_d1_w18/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_017_d1_w18/checkpoint_last.pt,True,width,0,0,0,False,2,0.5100392040042028,0.9491056639316933
representation,ae_alt_width,18,cand_018_d1_w19,[19],0.5097601816938621,4,9,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_018_d1_w19/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_018_d1_w19/checkpoint_last.pt,True,width,0,0,0,False,3,0.5097601816938621,0.05470605164273138
representation,ae_alt_width,19,cand_019_d1_w20,[20],0.4930928573064928,108,113,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_019_d1_w20/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_019_d1_w20/checkpoint_last.pt,True,width,0,0,0,False,0,0.4930928573064928,3.2696403104663907
representation,ae_alt_width,20,cand_020_d1_w21,[21],0.4919356958407264,12,17,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_020_d1_w21/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_020_d1_w21/checkpoint_last.pt,True,width,0,0,0,False,1,0.4919356958407264,0.23467414881801538
