task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail,consecutive_fail,width_stage_improved,width_stage_margin_fail,width_stage_anchor_val,width_stage_margin_pct,warmup_to_uniform
anomaly,ae_width_only,0,cand_000_d1_w1,[1],0.7129073870792847,287,297,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_000_d1_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_000_d1_w1/checkpoint_last.pt,True,width,0,0,0,False,0,0.7129073870792847,inf,False
anomaly,ae_width_only,1,cand_001_d1_w2,[2],0.6620047264636453,272,282,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_001_d1_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_001_d1_w2/checkpoint_last.pt,True,width,0,0,0,False,0,0.6620047264636453,7.140150535426892,False
anomaly,ae_width_only,3,cand_003_d1_w5,[5],0.5299720895112315,107,117,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_003_d1_w5/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_003_d1_w5/checkpoint_last.pt,True,width,0,0,0,False,0,0.5299720895112315,19.94436469626391,False
anomaly,ae_width_only,4,cand_004_d1_w6,[6],0.49200957732922773,63,73,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_004_d1_w6/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_004_d1_w6/checkpoint_last.pt,True,width,0,0,0,False,0,0.49200957732922773,7.163115366512009,False
anomaly,ae_width_only,5,cand_005_d1_w7,[7],0.45274998877309497,341,351,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_005_d1_w7/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_005_d1_w7/checkpoint_last.pt,True,width,0,0,0,False,0,0.45274998877309497,7.9794358413194555,False
anomaly,ae_width_only,6,cand_006_d1_w8,[8],0.4242712926224514,94,104,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_006_d1_w8/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_006_d1_w8/checkpoint_last.pt,True,width,0,0,0,False,0,0.4242712926224514,6.290159438284662,False
anomaly,ae_width_only,7,cand_007_d1_w10,[10],0.35917238735886686,76,86,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_007_d1_w10/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_007_d1_w10/checkpoint_last.pt,True,width,0,0,0,False,0,0.35917238735886686,15.343697863978377,False
anomaly,ae_width_only,9,cand_009_d1_w13,[13],0.27901132015159574,61,71,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_009_d1_w13/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_009_d1_w13/checkpoint_last.pt,True,width,0,0,0,False,0,0.27901132015159574,22.31827112232273,False
anomaly,ae_width_only,10,cand_010_d1_w14,[14],0.25431335047324094,121,131,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_010_d1_w14/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_010_d1_w14/checkpoint_last.pt,True,width,0,0,0,False,0,0.25431335047324094,8.851959721539474,False
anomaly,ae_width_only,11,cand_011_d1_w15,[15],0.2312923601859683,159,169,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_011_d1_w15/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/anomaly/repeat_04/d01/anomaly/ae_width_only/cand_011_d1_w15/checkpoint_last.pt,True,width,0,0,0,False,0,0.2312923601859683,9.052214618081928,False
