task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail,consecutive_fail,width_stage_improved,width_stage_margin_fail,width_stage_anchor_val,width_stage_margin_pct,warmup_to_uniform
simulation,ae_width_only,0,cand_000_d1_w1,[1],0.7614573240280151,645,655,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_000_d1_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_000_d1_w1/checkpoint_last.pt,True,width,0,0,0,False,0,0.7614573240280151,inf,False
simulation,ae_width_only,1,cand_001_d1_w2,[2],0.6133531332015991,752,762,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_001_d1_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_001_d1_w2/checkpoint_last.pt,True,width,0,0,0,False,0,0.6133531332015991,19.450097353186276,False
simulation,ae_width_only,2,cand_002_d1_w3,[3],0.18840119242668152,1455,1465,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_002_d1_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_002_d1_w3/checkpoint_last.pt,True,width,0,0,0,False,0,0.18840119242668152,69.28340588344935,False
simulation,ae_width_only,3,cand_003_d1_w4,[4],0.19115343689918518,21,31,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_003_d1_w4/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_003_d1_w4/checkpoint_last.pt,False,width,1,0,1,False,1,0.18840119242668152,0.0,False
simulation,ae_width_only,4,cand_004_d1_w5,[5],0.0788923054933548,527,537,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_004_d1_w5/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_004_d1_w5/checkpoint_last.pt,True,width,0,0,0,False,0,0.0788923054933548,58.12536827543878,False
simulation,ae_width_only,5,cand_005_d1_w6,[6],0.06879083812236786,203,213,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_005_d1_w6/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_005_d1_w6/checkpoint_last.pt,True,width,0,0,0,False,0,0.06879083812236786,12.804122414495541,False
simulation,ae_width_only,6,cand_006_d1_w7,[7],0.0656004473567009,147,157,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_006_d1_w7/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_006_d1_w7/checkpoint_last.pt,True,width,0,0,0,False,0,0.0656004473567009,4.637813483231254,False
simulation,ae_width_only,7,cand_007_d1_w8,[8],0.022776292636990547,399,409,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_007_d1_w8/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_007_d1_w8/checkpoint_last.pt,True,width,0,0,0,False,0,0.022776292636990547,65.28027848172286,False
simulation,ae_width_only,8,cand_008_d1_w9,[9],0.019934816285967827,167,177,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_008_d1_w9/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_008_d1_w9/checkpoint_last.pt,True,width,0,0,0,False,0,0.019934816285967827,12.475587648570743,False
simulation,ae_width_only,9,cand_009_d1_w10,[10],0.018925141543149948,107,117,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_009_d1_w10/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_009_d1_w10/checkpoint_last.pt,True,width,0,0,0,False,0,0.018925141543149948,5.064881102157894,False
simulation,ae_width_only,10,cand_010_d1_w11,[11],0.015029353089630604,180,190,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_010_d1_w11/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_010_d1_w11/checkpoint_last.pt,True,width,0,0,0,False,0,0.015029353089630604,20.585253984160794,False
simulation,ae_width_only,11,cand_011_d1_w12,[12],0.012561890296638012,180,190,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_011_d1_w12/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_011_d1_w12/checkpoint_last.pt,True,width,0,0,0,False,0,0.012561890296638012,16.417624752558382,False
simulation,ae_width_only,12,cand_012_d1_w13,[13],0.013652784749865532,24,34,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_012_d1_w13/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_012_d1_w13/checkpoint_last.pt,False,width,1,0,1,False,1,0.012561890296638012,0.0,False
