task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc,source_root
denoising,1,,stl_ablation_r01_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.02562359473738007,178,188,0.025538038925392834,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r02_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.025989697470075363,179,189,0.02584425780995076,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r03_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.02504096420670018,217,227,0.02494048399849476,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r04_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.024666540823169384,191,201,0.024737993548018068,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r05_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.025332473357800374,180,190,0.02515549351005212,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r01_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.2618459463481129,129,139,0.3307307523840157,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r02_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.2681877234841117,95,105,0.3325569783812765,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r03_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.2696624734555954,123,133,0.3330599042342839,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r04_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.26910498713821646,116,126,0.33691121344829916,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r05_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.26090583961245234,128,138,0.32706837103031633,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r01_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.30548571371087946,110,120,0.3759211424678347,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r02_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.3122329437496334,110,120,0.3707778838485681,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r03_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.3119068450561372,87,97,0.3717127930412001,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r04_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.3026618563304684,116,126,0.37091731349450724,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r05_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.31524388503263834,116,126,0.37002851691195315,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r02_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.3758849149620169,42,52,0.4404927893296648,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r03_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.3684689503003639,156,166,0.43321974403864216,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r04_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.3666505827417234,95,105,0.4370407296604602,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
denoising,1,,stl_ablation_r05_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.37089172428828815,83,93,0.4341170909378041,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
