task,family,phase,architecture,best_val,best_epoch,final_epoch,source
denoising,ADP,ae_alt_depth,"[101, 101, 101, 101, 101, 101]",0.0028221183732265857,12,12,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/task_summary.json
denoising,ADP,ae_alt_width,[54],0.0008199942890532851,6,6,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/task_summary.json
denoising,ADP,ae_width_to_depth,[54],0.0009473693990331499,6,6,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/task_summary.json
denoising,STL_ablation,stl_ablation_d03_w064_64_64_64,"[64, 64, 64]",0.018343819757361077,96,101,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d03_w096_96_96_96,"[96, 96, 96]",0.016931667664187355,60,65,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d03_w128_128_128_128,"[128, 128, 128]",0.013715540220887657,65,70,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d03_w160_160_160_160,"[160, 160, 160]",0.011012202066798413,82,87,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d03_w192_192_192_192,"[192, 192, 192]",0.011983931744555667,54,59,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d03_w224_224_224_224,"[224, 224, 224]",0.013645905956463209,34,39,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d03_w256_256_256_256,"[256, 256, 256]",0.012647527383074219,35,40,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d04_w064_64_64_64_64,"[64, 64, 64, 64]",0.02073382834244015,102,107,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d04_w096_96_96_96_96,"[96, 96, 96, 96]",0.013977514147051012,90,95,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d04_w128_128_128_128_128,"[128, 128, 128, 128]",0.015552201089653361,48,53,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d04_w160_160_160_160_160,"[160, 160, 160, 160]",0.013449196591462289,44,49,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d04_w192_192_192_192_192,"[192, 192, 192, 192]",0.013894787076619905,33,38,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d04_w224_224_224_224_224,"[224, 224, 224, 224]",0.012899840644549165,29,34,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d04_w256_256_256_256_256,"[256, 256, 256, 256]",0.01196492790068982,34,39,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d06_w064_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64]",0.03485941987758667,70,75,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
