task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail,consecutive_fail,width_stage_improved,width_stage_margin_fail,width_stage_anchor_val,width_stage_margin_pct,warmup_to_uniform
denoising,ae_width_only,0,cand_000_d10_w1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.190851386433692,28,39,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_000_d10_w1/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_000_d10_w1/checkpoint_last.pt,False,width,1,0,1,False,0,1.190851386433692,inf,False
denoising,ae_width_only,1,cand_001_d10_w2,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.1324569176659953,5,15,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_001_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_001_d10_w2/checkpoint_last.pt,True,width,1,0,1,True,0,1.190851386433692,,False
denoising,ae_width_only,2,cand_002_d10_w2,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",1.1125842370243544,2,12,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_002_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_002_d10_w2/checkpoint_last.pt,True,width,1,0,1,True,0,1.190851386433692,,False
denoising,ae_width_only,3,cand_003_d10_w2,"[2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",1.0708049416441516,53,63,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_003_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_003_d10_w2/checkpoint_last.pt,True,width,1,0,1,True,0,1.190851386433692,,False
denoising,ae_width_only,4,cand_004_d10_w2,"[2, 2, 2, 2, 1, 1, 1, 1, 1, 1]",1.0707347155011246,1,11,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_004_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_004_d10_w2/checkpoint_last.pt,False,width,1,0,1,True,0,1.190851386433692,,False
denoising,ae_width_only,5,cand_005_d10_w2,"[2, 2, 2, 2, 2, 1, 1, 1, 1, 1]",1.0707285087434144,5,15,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_005_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_005_d10_w2/checkpoint_last.pt,False,width,1,0,1,True,0,1.190851386433692,,False
denoising,ae_width_only,6,cand_006_d10_w2,"[2, 2, 2, 2, 2, 2, 1, 1, 1, 1]",1.0707164177358919,1,11,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_006_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_006_d10_w2/checkpoint_last.pt,False,width,1,0,1,True,0,1.190851386433692,,False
denoising,ae_width_only,7,cand_007_d10_w2,"[2, 2, 2, 2, 2, 2, 2, 1, 1, 1]",1.0707163132274604,1,11,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_007_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_007_d10_w2/checkpoint_last.pt,False,width,1,0,1,True,0,1.190851386433692,,False
denoising,ae_width_only,8,cand_008_d10_w2,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 1]",1.0707171205661725,1,11,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_008_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_008_d10_w2/checkpoint_last.pt,False,width,1,0,1,True,0,1.190851386433692,,False
denoising,ae_width_only,9,cand_009_d10_w2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 1]",1.0027094631143283,194,204,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_009_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d10/denoising/ae_width_only/cand_009_d10_w2/checkpoint_last.pt,True,width,1,0,1,True,0,1.190851386433692,,False
